SITE,Latitude,Longitude
Rede Cársica da Nascente do Almonda - Gruta da Aroeira - Galerias Pesadas,39.505331,-8.615279
Pinheirinhos 2,38.434947,-9.148977
Lapa Janela 1,38.426424,-9.175768
Lapa da Janela 3,38.427864,-9.175903
Lapa 4 de Maio,38.426585,-9.177832
Rede Cársica da Nascente do Almonda - Lapa dos Coelhos,39.504592,-8.615379
Cova da Moura,39.743404,-8.789358
Abrigo da Buraca da Moira 1/ Buraca da Moira,39.777301,-8.743359
Gruta dos Ursos,39.445238,-8.933452
Tojeira II,39.609433,-8.964963
Vale de Ripas I,39.512191,-8.964662
Vale de Ripas III,39.515033,-8.96273
Vale de Ripas II,39.514046,-8.963474
Gruta dos Morcegos,39.660702,-8.417341
Lapa do Vale das Lapas,39.696723,-8.419331
Caverna do Bacelinho/ Gruta do Bacelinho/ Buraca Grande da Porta,39.835464,-8.4018
Serra da Lapa,39.583691,-8.585885
Algar dos Casais da Mureta,39.476077,-8.710028
Cova da Moura I,39.365634,-7.372953
Cabeço da Ministra Média,39.551379,-8.920698
Cabeça da Ministra Baixa,39.551951,-8.925335
Gruta da Quinta dos Morcegos,39.291643,-9.216145
Lapa do Covão do Geão/ Lapa Comprida do Castelejo,39.542714,-8.774433
Rede Cársica da Nascente do Almonda - Gruta do Almonda - Galeria da Cisterna,39.504763,-8.61552
Gruta das Bocas,39.344548,-8.969618
Lapa do Sono,38.436991,-9.156313
Lapa Rasteira do Castelejo,39.542679,-8.774165
Buraca Gloriosa,39.535638,-8.768947
Cova da Presa,39.19768,-9.322537
Gruta do Charco I,39.204333,-9.052381
Gruta do Charco II,39.20515,-9.055042
Algar da Malhada de Dentro,39.569179,-8.599726
Gruta de Mosqueiros Baixa,39.54927,-8.924828
Pedreiras Velhas 3,39.286268,-9.272471
Lapa do Jerónimo,38.432403,-9.169888
Lapa da Cova,38.443965,-9.059795
Gruta de Vale Telheiro 2,37.173179,-8.032877
Lapa do Vale da Lapa,39.68588,-8.419041
Rede Cársica da Nascente do Almonda - Gruta do Pinheiro,39.505769,-8.616377
Gruta dos Brutiais,39.986214,-8.388997
Gruta da Buraca da Moira,39.778976,-8.744384
Gruta do Barrocal do Esguicho,37.166813,-8.003419
Algar do Cerro da Atalaia,37.135667,-8.122051
Gruta do Vale Covo,37.131819,-8.125968
Gruta da Areia/Varjota,37.168694,-8.075672
Gruta da Figueira,37.16973,-8.076959
Algarão da Figueira,37.204688,-8.072841
Caverna do Barrocalinho,37.152467,-8.091184
Gruta de Vale Telheiro,37.17021,-8.034812
Cova da Moura,39.307676,-9.277437
Gruta da Companheira,37.151335,-8.522159
Gruta da Portucheira III,39.080251,-9.221477
Cova da Moura I,39.084681,-9.227032
Oliveiras 1,37.150988,-8.522129
Gruta da Mata 1,39.846725,-8.85823
Gruta da Mata 2,39.846905,-8.858043
Lapa do Suão,39.299663,-9.200085
Sacavém - Largo do Terreirinho,38.792864,-9.105976
Lapa do Picareiro,39.53167,-8.65424
Gruta do Buraco Roto II,39.638827,-8.758895
Gruta do Pego do Diabo / Loca do Gato,38.863075,-9.220715
Gruta da Figueira/ Serra da Roupa,39.305504,-9.199762
Gruta do Escoural,38.544168,-8.137971
Fojo dos Morcegos,38.910122,-9.421454
Gruta das Alcobertas,39.429771,-8.916539
Gruta da Marmota,39.440438,-8.67319
Lapa do Fumo,38.435291,-9.140392
Gruta das Lapas,39.492763,-8.553744
Ibne-Ahmmar,37.156103,-8.500075
Grutas do Forte do Cavalo,38.43458,-9.118049
Ribeira do Cavalo,38.434293,-9.130643
Lapa da Rainha 2,39.180274,-9.325692
Gruta 2 da Portucheira,39.082235,-9.219451
Rede Cársica da Nascente do Almonda - Gruta da Oliveira,39.504589,-8.616076
Gruta do Poço Velho,38.700078,-9.420548
Lapa do Reguengo Pequeno,39.280047,-9.24429
Lapa da Rainha 1/ Gruta da Maceira,39.181269,-9.325246
Abrigo de Vale do Junco/ Lapa dos Gaivões,39.149538,-7.170762
Ponte da Laje,38.711627,-9.312883
Salustreira Menor,37.211275,-8.010378
Salustreira Maior,37.211116,-8.010176
Algarão da Goldra,37.111358,-7.9929
Gruta dos Bolhos,39.304598,-9.27795
Casa da Moura,39.326356,-9.248525
Columbeira,39.297933,-9.200187
Gruta do Caldeirão,39.648547,-8.415637
Furninha,39.354504,-9.399545
Mira/Pena,38.530573,-8.933576
Gruta da Avecasta,39.746029,-8.402735
Casa do Monge,40.883705,-7.491348
Gruta do Caixão,39.300827,-9.200915
Gruta das Pulgas,39.30193,-9.198497
Gruta do Carvalhal de Turquel (Algar do Estreito),39.466321,-8.951751
Cabeço da Ministra Alta,39.550646,-8.922493
Redondas,39.481676,-8.945539
Gruta dos Carrascos,39.479562,-8.733267
Gruta de Salemas,38.875755,-9.203393
Malgasta,39.324664,-9.273465
Gruta 2,39.273669,-9.277829
Vale de Lobos,38.837321,-9.285623
Porto Covo,38.718064,-9.42317
Furadouro,39.186966,-9.03183
Milagres/ Gruta da Mata,39.787026,-8.799695
Cezareda,39.315075,-9.257378
Gruta da Feteira,39.27859,-9.266517
Gruta do Ourão,40.022962,-8.580005
Gruta Principal,39.274611,-9.274565
Penedo da Penha,40.482576,-7.882496
Gruta da Igrejinha dos Soidos,37.248881,-8.156076
Algueirão da Mulher Morta,37.190751,-8.612699
Lapa dos Furos,39.682945,-8.436176
Gruta da Cova da Adiça,38.001943,-7.305602
São Pedro do Estoril (Grutas de),38.693395,-9.372155
Gruta de Lagar/Melides,38.146814,-8.730803
