Site,Type,Latitude,Longitude
Abrigo 1 de Vale dos Covões,Cave,40.048194,-8.498727
Abrigo do Arrife do Almonda,Cave,39.505484,-8.615397
Abrigo do Porto,Cave,39.715215,-8.756437
Achada 3,Isolated finding,39.293505,-9.010009
Aguncheiras,Open air,38.442851,-9.20212
Alfragide - Aqueduto das Francesas,Lithic scatter,38.735632,-9.214235
Almarjoa,Lithic scatter,39.371843,-9.165292
Alto da Fonte,Open air,37.227889,-7.485175
Alto da Peça 2,Lithic scatter,38.707515,-9.300779
Alto da Seixeira,Knapping workshop,39.328465,-9.331686
Alto das Cabeças 1,Lithic scatter,38.742292,-9.301
Alto das Cabeças 2,Lithic scatter,38.739928,-9.305873
Alto das Cabeças 4/ Monte do Sirgado,Lithic scatter,38.738896,-9.300105
Alto de Santo António,Open air,37.019519,-7.918453
Alto do Cartaxo,Lithic scatter,38.736359,-9.273245
Alto do Leião,Lithic scatter,38.733672,-9.297295
Alto do Zambujal,Lithic scatter,38.737442,-9.208512
Alto dos Barronhos,Open air,38.719115,-9.232325
Areia do Mastro,Open air,38.445265,-9.204102
Arneiro Cortiço,Lithic scatter,38.887484,-8.794103
Arriba da Praia D'El Rei,Lithic scatter,39.394811,-9.284137
Arrife do Alqueidão,Open air,39.55037,-8.584784
Arrotas 1,Open air,40.325721,-8.534933
Arrotas 2,Open air,40.327258,-8.533177
Azinhal,Open air,36.891237,-9.953284
Bairro do Zambujal - AFID/CEBI,Lithic scatter,38.728384,-9.212907
Barbealho 2,Lithic scatter,40.028721,-8.453941
Barrosos,Open air,40.018927,-8.598311
Base Aérea,Lithic scatter,38.716708,-9.043993
Bateria de São Gonçalo - Medrosa,Lithic scatter,38.684758,-9.323451
Curva do Belixe,Undetermined,37.025653,-8.986049
Belmonte,Lithic scatter,38.869324,-8.787793
Bemposta 1,Isolated finding,37.132948,-8.566361
Bica - Moínho da Revinheira,Lithic scatter,38.737708,-9.263295
Boca do Chapim Norte,Undetermined,38.439813,-9.205385
Brejos II,Open air,39.392744,-9.190754
Buraca Escura,Cave,39.979856,-8.551838
Buraca Grande,Cave,39.980927,-8.549644
Cabeça de Ega,Open air,39.663087,-7.611112
Cabeço da Serra,Lithic scatter,39.402634,-9.239105
Cabeço de Paimão,Lithic scatter,38.728714,-9.264671
Cabeço dos Canos,Open air,40.351799,-8.570224
Califórnia,Open air,39.382507,-9.132302
Campus Universitário de Carcavelos,Undetermined,38.678099,-9.325664
Canada,Open air,37.136589,-7.607501
Carnaxide 2,Lithic scatter,38.723509,-9.243891
Carneiras,Open air,39.351115,-9.224824
Caruncho,Lithic scatter,38.742583,-9.265879
Casais da Brogueira,Lithic scatter,39.393573,-9.173703
Casais da Lameira,Lithic scatter,39.337549,-9.230783
Casais da Quinta do Carvalhedo II,Lithic scatter,39.354732,-9.093575
Casais do Chafariz,Lithic scatter,39.32378,-9.150217
Casal Brandão,Lithic scatter,38.755423,-9.23156
Casal da Cardadoura,Open air,39.388256,-9.161866
Casal da Fonte,Lithic scatter,39.335939,-9.152272
Casal da Lameda,Knapping workshop,39.327084,-9.325864
Casal das Figueiras,Lithic scatter,39.326944,-9.321919
Casal de Baixo/Arreciadas,Lithic scatter,39.420782,-8.183266
Casal de Cabanas,Lithic scatter,38.744813,-9.301962
Casal de Cadima,Open air,40.303888,-8.649159
Casal de Chão do Lucas,Undetermined,39.447545,-8.235335
Casal de Santa Leopoldina,Lithic scatter,38.742705,-9.273725
Casal de Santiago II,Undetermined,39.396203,-9.165628
Casal de São Miguel,Undetermined,38.740677,-9.294901
Casal do Lameiro,Lithic scatter,38.72241,-9.264572
Casal do Louro,Undetermined,38.776874,-9.222464
Casal do Mortal/Casal do Murtal,Open air,38.822613,-9.17632
Casal do Parradouro II,Lithic scatter,39.361939,-9.261877
Casal do Serigato 1,Lithic scatter,38.730039,-9.311058
Casal do Vale das Donas,Lithic scatter,39.426728,-8.199907
Casal dos Moinhos,Lithic scatter,38.74078,-9.266104
Casal Janeiro I,Lithic scatter,39.36257,-9.259021
Casal Velho,Lithic scatter,39.334411,-9.138494
Casalito 1,Open air,39.778057,-8.867892
Castelo 1º - 2,Lithic scatter,38.720509,-9.284905
Catalão,Lithic scatter,39.369888,-9.124904
Caxias - Forte de São Bruno,Lithic scatter,38.698331,-9.275778
Cedouras,Lithic scatter,39.337445,-9.252076
Celtejo 1,Lithic scatter,39.662639,-7.662903
Celulose do Tejo,Lithic scatter,39.66191,-7.664655
Chã da Bica I,Undetermined,39.479011,-8.287682
Chumbada II,Lithic scatter,39.350678,-9.078252
Cobrinhos,Lithic scatter,39.668139,-7.674596
Conceição,Lithic scatter,38.727525,-8.988151
Courela do Mendes,Lithic scatter,38.770276,-8.638867
Cova da Areia,Lithic scatter,37.120971,-8.294553
Cruz da Pedra,Open air,37.116924,-8.719853
Encosta de Leceia,Lithic scatter,38.73127,-9.279661
Encosta Sul de Outurela,Lithic scatter,38.719646,-9.227527
Enforca Cães,Lithic scatter,39.437168,-8.171018
Espinhosa,Lithic scatter,38.684937,-8.97183
Estação do Cabeço de São Salvador,Open air,39.654205,-7.663576
Estrada do Prado,Open air,39.610011,-8.414175
Eucaliptal da Casa do Cadaval,Lithic scatter,39.052826,-8.659998
Ferraria,Open air,40.304721,-8.513401
Ferrel 1,Open air,37.116431,-8.728287
Foros I,Open air,39.009399,-8.722365
Foros II,Open air,39.009711,-8.72478
Forte da Baralha,Open air,38.413232,-9.190291
Forte da Giribita,Lithic scatter,38.698279,-9.282008
Forte de Catalazete,Lithic scatter,38.677214,-9.319488
Forte dos Maias,Lithic scatter,38.686362,-9.304641
Foz do Enxarrique,Open air,39.649792,-7.670305
Furninha,Cave,39.356082,-9.400812
Galerias Pesadas,Cave,39.505331,-8.615279
Gamoais,Open air,40.285245,-8.571147
Gancho,Open air,37.181019,-7.482197
Gândara de Baixo,Undetermined,40.295318,-8.562509
Gondra 1,Isolated finding,37.037932,-8.001689
Gondra 2,Open air,37.037121,-8.00169
Gruta da Companheira,Cave,37.152886,-8.523358
Gruta da Figueira Brava,Cave,38.471644,-8.98678
Gruta da Oliveira,Cave,39.504589,-8.616076
Salemas,Cave,38.875755,-9.203393
Gruta do Caldeirão,Cave,39.648547,-8.415637
Gruta do Escoural,Cave,38.544168,-8.137971
Gruta do Ourão,Cave,40.022962,-8.580005
Gruta do Correio-Mor,Cave,38.82674,-9.187159
Gruuta Nova da Columbeira,Cave,39.297933,-9.200187
Herdade da Caniceira,Open air,39.415994,-8.261996
Herdade da Rascoa 1,Lithic scatter,39.005847,-7.678854
Horta 1,Open air,39.625737,-7.694016
Horta 2,Open air,39.624754,-7.693719
Horta 4,Open air,39.627603,-7.689694
Horta 5,Open air,39.624621,-7.687035
Horta do Vale das Águias,Open air,38.965529,-7.048533
Ibn-Amar,Cave,37.156103,-8.500075
Lagoa do Bando,Open air,39.615567,-7.987691
Ingrina,Isolated finding,37.045287,-8.880606
Jazida do Alto da Pacheca,Knapping workshop,38.733507,-8.975698
Lagoa da Roda,Lithic scatter,40.297216,-8.560827
Lagoa do Outil 1,Open air,40.293885,-8.584163
Lagoa do Outil 2,Open air,40.294994,-8.576938
Lagoa do Outil 3,Open air,40.294439,-8.580545
Lapa dos Furos,Cave,39.682945,-8.436176
Laredo das Corchas,Open air,37.054549,-8.977379
Lagoa do Bordoal,Open air,37.113769,-8.880154
Laveiras 2,Lithic scatter,38.707138,-9.268699
Linda-a-Pastora,Lithic scatter,38.715271,-9.257561
Lagoa Funda 1,Open air,37.129956,-8.899219
Lapa do Picareiro,Cave,39.53167,-8.65424
Mina do Paço,Open air,35.265552,-10.364763
Lagoa Funda 2,Open air,37.123168,-8.889811
Linda-a-Velha,Lithic scatter,38.715414,-9.242616
Lisboa - Calçada dos Mestres,Lithic scatter,38.729745,-9.166009
Luz 2 / Senhora da Luz 2,Open air,38.325696,-7.410347
Malhada do Burrinho,Open air,39.061364,-7.591004
Malhadinhas,Lithic scatter,39.069013,-8.667664
Mama Sul,Lithic scatter,38.727939,-9.227861
Margem Sul da Ribeira do Chapim,Isolated finding,38.432643,-9.208268
Marreca I,Open air,39.389038,-9.185277
Mata do Meirinho/Arreciadas,Lithic scatter,39.4074,-8.155857
Matas 2,Open air,40.284439,-8.542767
Matas 3,Open air,40.284163,-8.541942
