Site,Layer,Material,Method,Lab Code,Age,SD,Obs,Reference
Almonda,EVS Cone,Equus (dente),U-Th,SMU-231E1,35000,2000,Low ratio of 230Th/232Th,"Zilhão, et al. 1993"
Almonda,ES2 Nível 4,Equus (dente),U-Th,307-260E1,131000,"+32000/-25,000",,Zilhão e McKinney 1995
Almonda,"EVS, Cone",Equus (dente),,231  E1 ,35000,2000,,Zilhão e McKinney 1995
Almonda,"EVS, caos de blocos",Equus (dente),,228 E1 ,136000,8000,,Zilhão e McKinney 1995
Almonda,"EVS, Praia dos Bifaces",Equus (dente),,230 E1,170000,13000,,Zilhão e McKinney 1995
Conceição,C,Sediment,OSL,QTLS-CNC11,27200,2500,Layer C above the archaeological level,Raposo e Cardoso 1998
Conceição,E,Sediment,OSL,QTLS-CC12,74500,-1.115384615,Layer E below the archaeological level,Rapso e Cardoso 1998
Foz do Enxarrique,C,Equus (dente),U-Th,SMU-225,32938,1055,,Raposo 1995
Foz do Enxarrique,C,Equus (dente),U-Th,SMU-226,34088,800,,Raposo 1995
Foz do Enxarrique,C,Equus (dente),U-Th,SMU-224,34093,920,,Raposo 1995
Furninha,base,,,,80880,-1.357005758,,Raposo 1995
Galerias Pesadas,,,,,241000,-1.363636364,,Marks 2005
Gruta da Figueira Brava,2,Patella sp.,C14,ICEN-387,34878,787,,"Antunes, et al. 1998"
Gruta da Figueira Brava,2,Cervus (dente),U-Th,SMU-232E1,30561,11853.3365,,Antunes 1991
Gruta da Figueira Brava,Nível inferior,Shell,C14,ICEN-387,33374,854,,Antunes 1991
Gruta da Figueira Brava,2,Cervus (dente),U-Th,SMU-233E2,44806,-1.138343602,,Antunes 1991
Gruta da Figueira Brava,AREA C 1025-9 (top),Speleothem,U-Th,UEVA-1737,24308,873,"Samples from the flowstone capping the Area C Pleistocene deposit, for which FB1025-1 provides a minimum age of 51.6 ka",Zilhão et al. 2020
Gruta da Figueira Brava,AREA C 1025-1 (base),Speleothem,U-Th,UEVA-1731,52194,618,"Samples from the flowstone capping the Area C Pleistocene deposit, for which FB1025-1 provides a minimum age of 51.6 ka",Zilhão et al. 2020
Gruta da Figueira Brava,AREA C 1107-1 (top),Speleothem,U-Th,UTO 436,25945,2428,"Samples from the flowstone capping the Area C Pleistocene deposit, for which FB1025-1 provides a minimum age of 51.6 ka",Zilhão et al. 2020
Gruta da Figueira Brava,AREA C 1107-2 (base),Speleothem,U-Th,UTO 437,51123,1236,"Samples from the flowstone capping the Area C Pleistocene deposit, for which FB1025-1 provides a minimum age of 51.6 ka",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1028-2 (middle),Speleothem,U-Th,UTO 209,57595,1085,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1028-1 (base),Speleothem,U-Th,UTO 208,60669,1308,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1101-2 (top),Speleothem,U-Th,UTO 428,63653,2261,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1101-1 (base),Speleothem,U-Th,UTO 427,66484,778,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1102-1 (top),Speleothem,U-Th,UTO 431,47117,1545,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1102-2 (base),Speleothem,U-Th,UTO 432,67294,897,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1103-1 (top),Speleothem,U-Th,UTO 770,28574,599,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1103-2 (base),Speleothem,U-Th,UTO 771,52329,821,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1104-2 (top),Speleothem,U-Th,UTO 426,61853,1041,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1104-1 (base),Speleothem,U-Th,UTO 425,64873,957,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1105-1 (top),Speleothem,U-Th,UTO-433,6226,918,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1105-3 (base),Speleothem,U-Th,UEVA 417,62890,1240,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1207-4 (middle),Speleothem,U-Th,UTO 777,48162,1084,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1207-6 (base),Speleothem,U-Th,UTO 776,79400,2511,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1303-3 (top),Speleothem,U-Th,UEVA 1390,49608,526,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1303-1 (bottom),Speleothem,U-Th,UEVA 1384,58851,862,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1304-5 (IT1top),Speleothem,U-Th,UEVA 1724,17072,3530,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1304-4 (IT1base),Speleothem,U-Th,UEVA 1723,16487,3637,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1304-3 (IH1top),Speleothem,U-Th,dlh 1211,15764,863,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1304-1 (IH1base),Speleothem,U-Th,dlh 1029,28941,730,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1305-9 (top),Speleothem,U-Th,dlh 1213,55800,552,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1305-1 (base),Speleothem,U-Th,dlh 1212,69232,926,"Samples from stalagmites and flowstone capping the Area F Pleistocene deposit, for which FB1207-6 implies a minimum age of 76.9 ka. Based on the lower limit of the range for sub-sample 1304-3, FB1304 provides a maximum age of 16.6 ka for the IT2 black lens, which laterally abutted (and, in certain areas, infiltrated) it.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1208-5,Speleothem,U-Th,UEVA 1729,87693,762,"Corresponds to unit IH5, an episode of calcite precipitation for which subsamples 1208-5 and 1208-1 provide, respectively, minimum and maximum ages.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1208-4,Speleothem,U-Th,UEVA 1728,88137,742,"Corresponds to unit IH5, an episode of calcite precipitation for which subsamples 1208-5 and 1208-1 provide, respectively, minimum and maximum ages.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1208-3,Speleothem,U-Th,UEVA 1727,87797,649,"Corresponds to unit IH5, an episode of calcite precipitation for which subsamples 1208-5 and 1208-1 provide, respectively, minimum and maximum ages.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1208-2,Speleothem,U-Th,UEVA 1726,88924,688,"Corresponds to unit IH5, an episode of calcite precipitation for which subsamples 1208-5 and 1208-1 provide, respectively, minimum and maximum ages.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1208-1,Speleothem,U-Th,UEVA 1725,87559,626,"Corresponds to unit IH5, an episode of calcite precipitation for which subsamples 1208-5 and 1208-1 provide, respectively, minimum and maximum ages.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1106-2 (top),Speleothem,U-Th,dlh 1326,89766,1643,"Corresponds to unit IH7, an episode of calcite precipitation for which the isochron date and sub-sample 1106-1 provide, respectively, minimum and maximum ages.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1106-3 (top),Speleothem,U-Th,dlh 1327,88044,1237,"Corresponds to unit IH7, an episode of calcite precipitation for which the isochron date and sub-sample 1106-1 provide, respectively, minimum and maximum ages.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1106-4 (top),Speleothem,U-Th,dlh 1328,86765,1078,"Corresponds to unit IH7, an episode of calcite precipitation for which the isochron date and sub-sample 1106-1 provide, respectively, minimum and maximum ages.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1106-5 (top),Speleothem,U-Th,dlh 1329,93590,2320,"Corresponds to unit IH7, an episode of calcite precipitation for which the isochron date and sub-sample 1106-1 provide, respectively, minimum and maximum ages.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1106-6 (top),Speleothem,U-Th,dlh 1330,91563,2467,"Corresponds to unit IH7, an episode of calcite precipitation for which the isochron date and sub-sample 1106-1 provide, respectively, minimum and maximum ages.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1106-top isochron,Speleothem,U-Th,,87000,1600,"Corresponds to unit IH7, an episode of calcite precipitation for which the isochron date and sub-sample 1106-1 provide, respectively, minimum and maximum ages.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1106-1 (base),Speleothem,U-Th,dlh 1325,88670,1162,"Corresponds to unit IH7, an episode of calcite precipitation for which the isochron date and sub-sample 1106-1 provide, respectively, minimum and maximum ages.",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1301-7,Speleothem,U-Th,UEVA 1713,87582,913,"Formed during the deposition of unit IH8 (FB-1301 at a slightly higher elevation than FB-1302, in agreement with the results obtained).",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1301-6,Speleothem,U-Th,UEVA 1712,95614,2368,"Formed during the deposition of unit IH8 (FB-1301 at a slightly higher elevation than FB-1302, in agreement with the results obtained).",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1301-5,Speleothem,U-Th,UEVA 1711,87444,870,"Formed during the deposition of unit IH8 (FB-1301 at a slightly higher elevation than FB-1302, in agreement with the results obtained).",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1301-4,Speleothem,U-Th,UEVA 1710,89641,1592,"Formed during the deposition of unit IH8 (FB-1301 at a slightly higher elevation than FB-1302, in agreement with the results obtained).",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1301-3,Speleothem,U-Th,UEVA 1709,88475,1457,"Formed during the deposition of unit IH8 (FB-1301 at a slightly higher elevation than FB-1302, in agreement with the results obtained).",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1301-2,Speleothem,U-Th,UEVA 1708,86094,871,"Formed during the deposition of unit IH8 (FB-1301 at a slightly higher elevation than FB-1302, in agreement with the results obtained).",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1301-1,Speleothem,U-Th,UEVA 1707,87194,979,"Formed during the deposition of unit IH8 (FB-1301 at a slightly higher elevation than FB-1302, in agreement with the results obtained).",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1302-3,Speleothem,U-Th,UEVA 1705,89260,3459,"Formed during the deposition of unit IH8 (FB-1301 at a slightly higher elevation than FB-1302, in agreement with the results obtained).",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1302-2,Speleothem,U-Th,UEVA 1704,90818,1625,"Formed during the deposition of unit IH8 (FB-1301 at a slightly higher elevation than FB-1302, in agreement with the results obtained).",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1302-1,Speleothem,U-Th,UEVA 1703,90343,1432,"Formed during the deposition of unit IH8 (FB-1301 at a slightly higher elevation than FB-1302, in agreement with the results obtained).",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1209-3,Speleothem,U-Th,UEVA 1389,94326,4102,Corresponds to unit IL1 and is a stalagmite for which sub-samples 1209-3 and -4 provide a minimum age and subsample 1209-5 provides a maximum age.,Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1209-4,Speleothem,U-Th,UEVA 1701,90875,968,Corresponds to unit IL1 and is a stalagmite for which sub-samples 1209-3 and -4 provide a minimum age and subsample 1209-5 provides a maximum age.,Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1209-5,Speleothem,U-Th,UEVA 1702,92113,1134,Corresponds to unit IL1 and is a stalagmite for which sub-samples 1209-3 and -4 provide a minimum age and subsample 1209-5 provides a maximum age.,Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1306-1 (top),Speleothem,U-Th,dlh 1206,107361,3929,"Corresponds to unit IB1, an episode of flowstone formation constrained by subsamples 1306-1 (minimum age) and 1306-2 (maximum age).",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1306-3 (basal),Speleothem,U-Th,dlh 1208,141513,1588,"Corresponds to unit IB1, an episode of flowstone formation constrained by subsamples 1306-1 (minimum age) and 1306-2 (maximum age).",Zilhão et al. 2020
Gruta da Figueira Brava,AREA F 1306-2 (bottom),Speleothem,U-Th,dlh 1207,150169,2072,"Corresponds to unit IB1, an episode of flowstone formation constrained by subsamples 1306-1 (minimum age) and 1306-2 (maximum age).",Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 2 1406-4 (top),Speleothem,U-Th,UEVA 993,40742,496,"Both document flowstone formation across the whole area, with sub-sample 1406-1 providing a minimum age of 45.0 ka for the underlying, eroded sedimentary fill.",Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 2 1406-1 (base),Speleothem,U-Th,UEVA 990,45649,613,"Both document flowstone formation across the whole area, with sub-sample 1406-1 providing a minimum age of 45.0 ka for the underlying, eroded sedimentary fill.",Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 2 1407-5 (top),Speleothem,U-Th,UEVA 1025,26965,10083,"Both document flowstone formation across the whole area, with sub-sample 1406-1 providing a minimum age of 45.0 ka for the underlying, eroded sedimentary fill.",Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 2 1407-1 (base),Speleothem,U-Th,UEVA 1021,78212,52273,"Both document flowstone formation across the whole area, with sub-sample 1406-1 providing a minimum age of 45.0 ka for the underlying, eroded sedimentary fill.",Zilhão et al. 2020
Gruta da Figueira Brava,ENTRANCE 3 1026-1a,Speleothem,U-Th,UEVA 1823,56835,6317,"All three samples document flowstone formation across the whole area, with subsample 1402-1 providing a minimum age of 57.3 ka for the underlying, eroded sedimentary fill. The sub-samples from sample 1026 are for a single calcite lamina from the flowstone (unit UC1) capping a remnant of the UC complex.",Zilhão et al. 2020
