DESIGNAÇÃO,LATITUDE,LONGITUDE
Gruta de Salemas,38.875755,-9.203393
Gruta do Escoural,38.544168,-8.137971
Gruta do Pego do Diabo / Loca do Gato,38.863075,-9.220715
Buraca Escura,39.979856,-8.551838
Buraca Grande,39.980927,-8.549644
Casa da Moura,39.326356,-9.248525
Furninha,39.356082,-9.400812
Gruta do Caldeirão,39.648547,-8.415637
Abrigo do Lagar Velho - Lapedo,39.755453,-8.734735
Abrigo Grande das Bocas (Abrigo I das Bocas),39.345774,-8.969482
Lapa do Picareiro,39.53167,-8.65424
Lapa do Suão,39.299663,-9.200085
Algar da Arroteia,39.563564,-8.817098
Algar da Rocha da Pena,37.254882,-8.09848
Buraca Gloriosa,39.535638,-8.768947
Buraca Longa / Gruta da Mina,39.984037,-8.551407
Columbeira,39.297933,-9.200187
Correio-Mor,38.82674,-9.187159
Cova,39.535918,-8.768671
Cova da Moira,39.343638,-8.959597
Figueira Brava,38.471644,-8.98678
Gruta do Caixão,39.300827,-9.200915
Gruta do Ourão II,40.024193,-8.580716
Gruta dos Morcegos,39.660702,-8.417341
Lapa de Santa Margarida,38.468933,-8.987894
Lapa do Vale das Lapas,39.696723,-8.419331
Milagres,39.787026,-8.799695
Pedreira de Alvados,39.538027,-8.751847
Ponte da Laje,38.711627,-9.312883
Ribeira do Cavalo,38.434293,-9.130643
Abrigo da Cascata,40.181214,-8.176201
Abrigo da Pala Encarnada,39.75985,-8.732754
Abrigo do Pé da Serra,39.372674,-8.948451
Abrigo do Zavial,37.044115,-8.866319
Cova da Moura,39.577236,-7.974933
Gruta da Nascente do Almonda - Brecha dos Ursos,39.504822,-8.616334
Rede Cársica da Nascente do Almonda - Gruta da Aroeira - Galerias Pesadas,39.505331,-8.615279
Algar do João Ramos/Gruta das Redondas,39.481659,-8.935078
Gruta das Alcobertas,39.429771,-8.916539
Gruta do Carvalhal de Turquel (Algar do Estreito),39.466321,-8.951751
Gruta dos Casais do Arrife,39.46225,-8.75566
Gruta dos Penedos,40.275527,-8.286279
Rede Cársica da Nascente do Almonda - Gruta da Oliveira,39.504589,-8.616076
Rede Cársica da Nascente do Almonda - Lapa dos Coelhos,39.504592,-8.615379
Redondas,39.481676,-8.945539
Vale da Lapa,39.698418,-8.422113
Valinho da Curvachia,39.718792,-8.761134
Abrigo 1 de Vale dos Covões,40.048194,-8.498727
Abrigo II,39.755857,-8.735042
Abrigo do Arrife do Almonda,39.505484,-8.615397
Abrigo do Vale da Canada,39.535918,-8.768671
Rocha da Gralheira,37.15574,-7.908275
Furadouro,39.186966,-9.03183
Lapa do Anecrial,39.540481,-8.757778
Gruta do Ourão,40.022962,-8.580005
Gruta do Poço Velho,38.700078,-9.420548
Lapa da Rainha 1/ Gruta da Maceira,39.181269,-9.325246
Rede Cársica da Nascente do Almonda - Gruta do Almonda - Galeria da Cisterna,39.504763,-8.61552
Abrigo do Alecrim,39.75848,-8.732999
