Rowid,SITE,ZONE-CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,Rede Cársica da Nascente do Almonda - Gruta da Aroeira - Galerias Pesadas,1,2,1554.589099,141.809052,146.560135,4.751083,144.184593,2.375542,288.369186
2,Pinheirinhos 2,2,2,1554.589099,209.357758,210.068588,0.710831,209.713173,0.355415,419.426346
3,Lapa Janela 1,3,2,1554.589099,121.39946,133.281647,11.882187,127.340553,5.941093,254.681107
4,Lapa da Janela 3,4,1,777.294549,147.094757,147.094757,0,147.094757,0,147.094757
5,Lapa 4 de Maio,5,2,1554.589099,101.309929,114.443954,13.134026,107.876942,6.567013,215.753883
6,Rede Cársica da Nascente do Almonda - Lapa dos Coelhos,6,1,777.294549,130.683975,130.683975,0,130.683975,0,130.683975
7,Cova da Moura,7,3,2331.883648,152.818893,280.840302,128.021408,228.688924,54.889593,686.066772
8,Abrigo da Buraca da Moira 1/ Buraca da Moira,8,2,1554.589099,286.821411,287.102722,0.281311,286.962067,0.140656,573.924133
9,Gruta dos Ursos,9,1,777.294549,288.434937,288.434937,0,288.434937,0,288.434937
10,Tojeira II,10,2,1554.589099,59.036243,278.130096,219.093853,168.58317,109.546926,337.16634
11,Vale de Ripas I,11,2,1554.589099,158.629379,174.17366,15.544281,166.40152,7.772141,332.80304
12,Vale de Ripas III,12,2,1554.589099,61.189205,93.366463,32.177258,77.277834,16.088629,154.555668
13,Vale de Ripas II,13,2,1554.589099,114.0755,120.96376,6.88826,117.51963,3.44413,235.039261
14,Gruta dos Morcegos,14,2,1554.589099,208.300751,233.130096,24.829346,220.715424,12.414673,441.430847
15,Lapa do Vale das Lapas,15,2,1554.589099,327.264771,351.869904,24.605133,339.567337,12.302567,679.134674
16,Caverna do Bacelinho/ Gruta do Bacelinho/ Buraca Grande da Porta,16,1,777.294549,96.340195,96.340195,0,96.340195,0,96.340195
17,Serra da Lapa,17,2,1554.589099,287.700439,292.520569,4.820129,290.110504,2.410065,580.221008
18,Algar dos Casais da Mureta,18,2,1554.589099,128.290161,138.366455,10.076294,133.328308,5.038147,266.656616
19,Cova da Moura I,19,3,2331.883648,147.528809,275.440338,127.91153,209.844732,52.271133,629.534195
20,Cabeço da Ministra Média,20,1,777.294549,246.801407,246.801407,0,246.801407,0,246.801407
21,Cabeça da Ministra Baixa,21,2,1554.589099,153.434952,172.874985,19.440033,163.154968,9.720016,326.309937
22,Gruta da Quinta dos Morcegos,22,2,1554.589099,84.805573,290.55603,205.750458,187.680801,102.875229,375.361603
23,Lapa do Covão do Geão/ Lapa Comprida do Castelejo,23,2,1554.589099,18.245853,21.65233,3.406477,19.949092,1.703238,39.898184
24,Rede Cársica da Nascente do Almonda - Gruta do Almonda - Galeria da Cisterna,24,2,1554.589099,111.370621,128.443054,17.072433,119.906837,8.536217,239.813675
25,Gruta das Bocas,25,2,1554.589099,108.434952,112.890549,4.455597,110.66275,2.227798,221.3255
26,Lapa do Sono,26,2,1554.589099,205.016891,211.759476,6.742584,208.388184,3.371292,416.776367
27,Lapa Rasteira do Castelejo,27,1,777.294549,30.237383,30.237383,0,30.237383,0,30.237383
28,Buraca Gloriosa,28,1,777.294549,225,225,0,225,0,225
29,Cova da Presa,29,1,777.294549,142.431412,142.431412,0,142.431412,0,142.431412
30,Gruta do Charco I,30,1,777.294549,339.443939,339.443939,0,339.443939,0,339.443939
31,Gruta do Charco II,31,2,1554.589099,301.944763,308.453705,6.508942,305.199234,3.254471,610.398468
32,Algar da Malhada de Dentro,32,1,777.294549,2.290609,2.290609,0,2.290609,0,2.290609
33,Gruta de Mosqueiros Baixa,33,1,777.294549,145.619659,145.619659,0,145.619659,0,145.619659
34,Pedreiras Velhas 3,34,1,777.294549,95.194427,95.194427,0,95.194427,0,95.194427
35,Lapa do Jerónimo,35,1,777.294549,107.8787,107.8787,0,107.8787,0,107.8787
36,Lapa da Cova,36,2,1554.589099,336.801422,338.448059,1.646637,337.624741,0.823318,675.249481
37,Gruta de Vale Telheiro 2,37,1,777.294549,108.434952,108.434952,0,108.434952,0,108.434952
38,Lapa do Vale da Lapa,38,2,1554.589099,333.434937,357.709381,24.274445,345.572159,12.137222,691.144318
39,Rede Cársica da Nascente do Almonda - Gruta do Pinheiro,39,1,777.294549,348.690063,348.690063,0,348.690063,0,348.690063
40,Gruta dos Brutiais,40,2,1554.589099,11.888658,27.89727,16.008613,19.892964,8.004306,39.785928
41,Gruta da Buraca da Moira,41,2,1554.589099,135,140.194427,5.194427,137.597214,2.597214,275.194427
42,Gruta do Barrocal do Esguicho,42,2,1554.589099,111.037514,118.739792,7.702278,114.888653,3.851139,229.777306
43,Algar do Cerro da Atalaia,43,1,777.294549,12.994617,12.994617,0,12.994617,0,12.994617
44,Gruta do Vale Covo,44,2,1554.589099,11.309932,345.963745,334.653813,178.636838,167.326907,357.273677
45,Gruta da Areia/Varjota,45,1,777.294549,243.434952,243.434952,0,243.434952,0,243.434952
46,Gruta da Figueira,46,2,1554.589099,18.434948,341.565063,323.130116,180.000006,161.565058,360.000011
47,Algarão da Figueira,47,1,777.294549,125.537682,125.537682,0,125.537682,0,125.537682
48,Caverna do Barrocalinho,48,2,1554.589099,173.927551,176.7603,2.832748,175.343925,1.416374,350.687851
49,Gruta de Vale Telheiro,49,1,777.294549,235.30484,235.30484,0,235.30484,0,235.30484
50,Gruta da Companheira,50,2,1554.589099,318.576324,347.471191,28.894867,333.023758,14.447433,666.047516
51,Gruta da Portucheira III,51,1,777.294549,273.814087,273.814087,0,273.814087,0,273.814087
52,Oliveiras 1,52,1,777.294549,153.434952,153.434952,0,153.434952,0,153.434952
53,Gruta da Mata 1,53,1,777.294549,0,0,0,0,0,0
