Rowid,SITE,ZONE-CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,Rede Cársica da Nascente do Almonda - Gruta da Aroeira - Galerias Pesadas,1,2,1554.589099,125,135,10,130,5,260,2,125,125,125
2,Pinheirinhos 2,2,2,1554.589099,198,202,4,200,2,400,2,198,198,198
3,Lapa Janela 1,3,2,1554.589099,65,73,8,69,4,138,2,65,65,65
4,Lapa da Janela 3,4,1,777.294549,126,126,0,126,0,126,1,126,126,126
5,Lapa 4 de Maio,5,2,1554.589099,148,151,3,149.5,1.5,299,2,148,148,148
6,Rede Cársica da Nascente do Almonda - Lapa dos Coelhos,6,1,777.294549,100,100,0,100,0,100,1,100,100,100
7,Cova da Moura,7,3,2331.883648,52,124,72,100,33.941125,300,2,124,52,124
8,Abrigo da Buraca da Moira 1/ Buraca da Moira,8,2,1554.589099,105,110,5,107.5,2.5,215,2,105,105,105
9,Gruta dos Ursos,9,1,777.294549,292,292,0,292,0,292,1,292,292,292
10,Tojeira II,10,2,1554.589099,113,114,1,113.5,0.5,227,2,113,113,113
11,Vale de Ripas I,11,2,1554.589099,95,101,6,98,3,196,2,95,95,95
12,Vale de Ripas III,12,2,1554.589099,130,132,2,131,1,262,2,130,130,130
13,Vale de Ripas II,13,2,1554.589099,131,138,7,134.5,3.5,269,2,131,131,131
14,Gruta dos Morcegos,14,2,1554.589099,123,123,0,123,0,246,1,123,123,123
15,Lapa do Vale das Lapas,15,2,1554.589099,136,139,3,137.5,1.5,275,2,136,136,136
16,Caverna do Bacelinho/ Gruta do Bacelinho/ Buraca Grande da Porta,16,1,777.294549,469,469,0,469,0,469,1,469,469,469
17,Serra da Lapa,17,2,1554.589099,256,261,5,258.5,2.5,517,2,256,256,256
18,Algar dos Casais da Mureta,18,2,1554.589099,202,204,2,203,1,406,2,202,202,202
19,Cova da Moura I,19,3,2331.883648,45,580,535,223.333333,252.201419,670,2,45,580,45
20,Cabeço da Ministra Média,20,1,777.294549,124,124,0,124,0,124,1,124,124,124
21,Cabeça da Ministra Baixa,21,2,1554.589099,139,139,0,139,0,278,1,139,139,139
22,Gruta da Quinta dos Morcegos,22,2,1554.589099,124,126,2,125,1,250,2,124,124,124
23,Lapa do Covão do Geão/ Lapa Comprida do Castelejo,23,2,1554.589099,365,374,9,369.5,4.5,739,2,365,365,365
24,Rede Cársica da Nascente do Almonda - Gruta do Almonda - Galeria da Cisterna,24,2,1554.589099,123,133,10,128,5,256,2,123,123,123
25,Gruta das Bocas,25,2,1554.589099,152,159,7,155.5,3.5,311,2,152,152,152
26,Lapa do Sono,26,2,1554.589099,200,202,2,201,1,402,2,200,200,200
27,Lapa Rasteira do Castelejo,27,1,777.294549,354,354,0,354,0,354,1,354,354,354
28,Buraca Gloriosa,28,1,777.294549,419,419,0,419,0,419,1,419,419,419
29,Cova da Presa,29,1,777.294549,65,65,0,65,0,65,1,65,65,65
30,Gruta do Charco I,30,1,777.294549,288,288,0,288,0,288,1,288,288,288
31,Gruta do Charco II,31,2,1554.589099,242,252,10,247,5,494,2,242,242,242
32,Algar da Malhada de Dentro,32,1,777.294549,346,346,0,346,0,346,1,346,346,346
