SITE,Latitude,Longitude,ordem,Distance,,
Gruta de Dine/ Lorga de Dine,41.909658,-6.929917,2,760.2,,
Santo Adrião,41.534811,-6.477115,2,149.7,,
Casa do Monge,40.883705,-7.491348,3,1787.2,,
Penedo da Penha,40.482576,-7.882496,4,736.4,,
Gruta do Ourão,40.022962,-8.580005,2,943.8,,
Gruta dos Brutiais,39.986214,-8.388997,2,842.5,,
Gruta da Mata 1,39.846725,-8.85823,4,140.7,,
Gruta da Mata 2,39.846905,-8.858043,4,143.3,,
Caverna do Bacelinho/ Gruta do Bacelinho/ Buraca Grande da Porta,39.835464,-8.4018,2,4878.9,,
Milagres/ Gruta da Mata,39.787026,-8.799695,2,579.5,,
Abrigo da Buraca da Moira 1/ Buraca da Moira,39.777301,-8.743359,2,550.2,,
Gruta da Buraca da Moira,39.778976,-8.744384,2,687.7,,
Cova da Moura,39.743404,-8.789358,3,7.9,,
Gruta da Avecasta,39.746029,-8.402735,2,1345.5,,
Lapa do Vale das Lapas,39.696723,-8.419331,4,2082.6,,
Lapa dos Furos,39.682945,-8.436176,4,189.4,,
Lapa do Vale da Lapa,39.68588,-8.419041,4,1513,,
Gruta dos Morcegos,39.660702,-8.417341,4,132.8,,
Gruta do Caldeirão,39.648547,-8.415637,4,282.9,,
Gruta do Buraco Roto II,39.638827,-8.758895,2,914.3,,
Tojeira II,39.609433,-8.964963,3,572,,
Serra da Lapa,39.583691,-8.585885,3,1745.4,,
Algar da Malhada de Dentro,39.569179,-8.599726,2,1452.1,,
Lapa do Picareiro,39.53167,-8.65424,2,4153.7,,
Lapa do Covão do Geão/ Lapa Comprida do Castelejo,39.542714,-8.774433,2,1778.6,,
Lapa Rasteira do Castelejo,39.542679,-8.774165,2,1787.4,,
Buraca Gloriosa,39.535638,-8.768947,2,2610.5,,
Cabeço da Ministra Média,39.551379,-8.920698,2,201.3,,
Cabeça da Ministra Baixa,39.551951,-8.925335,2,249.2,,
Gruta de Mosqueiros Baixa,39.54927,-8.924828,2,6.6,,
Cabeço da Ministra Alta,39.550646,-8.922493,2,74.9,,
Vale de Ripas I,39.512191,-8.964662,2,1998.2,,
Vale de Ripas III,39.515033,-8.96273,2,1655.1,,
Vale de Ripas II,39.514046,-8.963474,2,1778.7,,
Gruta dos Ursos,39.445238,-8.933452,2,3997.8,,
Gruta do Carvalhal de Turquel (Algar do Estreito),39.466321,-8.951751,2,1586.6,,
Redondas,39.481676,-8.945539,2,308.2,,
Rede Cársica da Nascente do Almonda - Gruta da Aroeira - Galerias Pesadas,39.505331,-8.615279,2,1176.1,,
Rede Cársica da Nascente do Almonda - Lapa dos Coelhos,39.504592,-8.615379,2,1120.1,,
Rede Cársica da Nascente do Almonda - Gruta do Almonda - Galeria da Cisterna,39.504763,-8.61552,2,1142.2,,
Rede Cársica da Nascente do Almonda - Gruta do Pinheiro,39.505769,-8.616377,2,1273.8,,
Gruta das Lapas,39.492763,-8.553744,2,127.5,,
Rede Cársica da Nascente do Almonda - Gruta da Oliveira,39.504589,-8.616076,2,1161.1,,
Algar dos Casais da Mureta,39.476077,-8.710028,2,1548.1,,
Gruta dos Carrascos,39.479562,-8.733267,2,870.9,,
Gruta da Marmota,39.440438,-8.67319,3,461.4,,
Gruta das Alcobertas,39.429771,-8.916539,2,5075.5,,
Cova da Moura I,39.365634,-7.372953,2,745,,
Furninha,39.354504,-9.399545,2,3945,,
Gruta das Bocas,39.344548,-8.969618,2,182.6,,
Gruta da Quinta dos Morcegos,39.291643,-9.216145,2,2383.5,,
Lapa do Suão,39.299663,-9.200085,2,1852.9,,
Gruta da Figueira/ Serra da Roupa,39.305504,-9.199762,2,1421.1,,
Lapa do Reguengo Pequeno,39.280047,-9.24429,2,4836.5,,
Casa da Moura,39.326356,-9.248525,2,3953.4,,
Columbeira,39.297933,-9.200187,2,1991.8,,
Gruta do Caixão,39.300827,-9.200915,2,1710,,
Gruta das Pulgas,39.30193,-9.198497,2,1771.2,,
Malgasta,39.324664,-9.273465,2,2212.6,,
Cezareda,39.315075,-9.257378,2,3263.7,,
Pedreiras Velhas 3,39.286268,-9.272471,2,2442.5,,
Cova da Moura,39.307676,-9.277437,2,1140.4,,
Gruta dos Bolhos,39.304598,-9.27795,2,1050.6,,
Gruta 2,39.273669,-9.277829,2,3283.5,,
Gruta da Feteira,39.27859,-9.266517,2,3413.1,,
Gruta Principal,39.274611,-9.274565,2,3317.4,,
Gruta do Charco I,39.204333,-9.052381,2,6033.9,,
Gruta do Charco II,39.20515,-9.055042,2,5766.8,,
Cova da Presa,39.19768,-9.322537,3,1510.1,,
Lapa da Rainha 2,39.180274,-9.325692,3,101.8,,
Lapa da Rainha 1/ Gruta da Maceira,39.181269,-9.325246,3,51.9,,
Furadouro,39.186966,-9.03183,2,3851.3,,
Abrigo de Vale do Junco/ Lapa dos Gaivões,39.149538,-7.170762,2,3052,,
Gruta da Portucheira III,39.080251,-9.221477,3,319.3,,
Cova da Moura I,39.084681,-9.227032,3,276.5,,
Gruta 2 da Portucheira,39.082235,-9.219451,3,139.3,,
Fojo dos Morcegos,38.910122,-9.421454,2,1889.4,,
Vale de Lobos,38.837321,-9.285623,2,4682,,
Gruta do Pego do Diabo / Loca do Gato,38.863075,-9.220715,2,347.5,,
Gruta de Salemas,38.875755,-9.203393,2,1260.2,,
Sacavém - Largo do Terreirinho,38.792864,-9.105976,4,485.6,,
Gruta do Poço Velho,38.700078,-9.420548,2,142.2,,
Porto Covo,38.718064,-9.42317,2,604.6,,
São Pedro do Estoril (Grutas de),38.693395,-9.372155,2,4916.2,,
Ponte da Laje,38.711627,-9.312883,2,5512.7,,
Lapa da Cova,38.443965,-9.059795,2,7945.5,,
Grutas do Forte do Cavalo,38.43458,-9.118049,2,9375.8,,
Pinheirinhos 2,38.434947,-9.148977,2,8223.7,,
Lapa Janela 1,38.426424,-9.175768,2,8597.7,,
Lapa da Janela 3,38.427864,-9.175903,2,8453.6,,
Lapa 4 de Maio,38.426585,-9.177832,2,8580.6,,
Lapa do Sono,38.436991,-9.156313,2,7809.4,,
Lapa do Jerónimo,38.432403,-9.169888,2,8027.7,,
Lapa do Fumo,38.435291,-9.140392,2,8472.9,,
Ribeira do Cavalo,38.434293,-9.130643,2,8964.2,,
Mira/Pena,38.530573,-8.933576,2,1637.8,,
Gruta do Escoural,38.544168,-8.137971,2,3728.1,,
Gruta de Lagar/Melides,38.146814,-8.730803,2,9.8,,
Gruta da Cova da Adiça,38.001943,-7.305602,2,3114.2,,
Salustreira Menor,37.211275,-8.010378,3,128.1,,
Salustreira Maior,37.211116,-8.010176,3,128.4,,
Gruta do Barrocal do Esguicho,37.166813,-8.003419,2,2469.5,,
Gruta de Vale Telheiro 2,37.173179,-8.032877,3,1302.5,,
Gruta da Areia/Varjota,37.168694,-8.075672,3,1990.6,,
Gruta da Figueira,37.16973,-8.076959,3,1861.8,,
Algarão da Figueira,37.204688,-8.072841,3,1474.8,,
Gruta de Vale Telheiro,37.17021,-8.034812,3,1473.6,,
Gruta da Igrejinha dos Soidos,37.248881,-8.156076,2,3711.7,,
Ibne-Ahmmar,37.156103,-8.500075,4,896.5,,
Algueirão da Mulher Morta,37.190751,-8.612699,2,880.6,,
Gruta da Companheira,37.151335,-8.522159,2,149.6,,
Oliveiras 1,37.150988,-8.522129,2,154,,
Algar do Cerro da Atalaia,37.135667,-8.122051,2,1683.1,,
Gruta do Vale Covo,37.131819,-8.125968,2,1807.6,,
Caverna do Barrocalinho,37.152467,-8.091184,2,3335.6,,
Algarão da Goldra,37.111358,-7.9929,2,1382,,
