Rowid,SITE,ZONE-CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,Rede Cársica da Nascente do Almonda - Gruta da Aroeira - Galerias Pesadas,1,2,1554.589099,23.163158,29.662727,6.499569,26.412943,3.249784,52.825886
2,Pinheirinhos 2,2,2,1554.589099,5.621686,9.347756,3.72607,7.484721,1.863035,14.969442
3,Lapa Janela 1,3,2,1554.589099,22.021383,32.388916,10.367533,27.20515,5.183766,54.410299
4,Lapa da Janela 3,4,1,777.294549,15.235098,15.235098,0,15.235098,0,15.235098
5,Lapa 4 de Maio,5,2,1554.589099,5.224928,12.226803,7.001875,8.725865,3.500937,17.451731
6,Rede Cársica da Nascente do Almonda - Lapa dos Coelhos,6,1,777.294549,33.980675,33.980675,0,33.980675,0,33.980675
7,Cova da Moura,7,3,2331.883648,10.563378,12.109407,1.546029,11.195956,0.661674,33.587867
8,Abrigo da Buraca da Moira 1/ Buraca da Moira,8,2,1554.589099,6.953701,11.387508,4.433807,9.170605,2.216903,18.34121
9,Gruta dos Ursos,9,1,777.294549,22.350706,22.350706,0,22.350706,0,22.350706
10,Tojeira II,10,2,1554.589099,1.497547,1.815848,0.318301,1.656697,0.15915,3.313394
11,Vale de Ripas I,11,2,1554.589099,6.318864,12.452896,6.134032,9.38588,3.067016,18.77176
12,Vale de Ripas III,12,2,1554.589099,8.682141,11.567287,2.885146,10.124714,1.442573,20.249429
13,Vale de Ripas II,13,2,1554.589099,10.370463,12.996416,2.625953,11.68344,1.312976,23.366879
14,Gruta dos Morcegos,14,2,1554.589099,2.567137,3.787345,1.220208,3.177241,0.610104,6.354482
15,Lapa do Vale das Lapas,15,2,1554.589099,3.628055,8.48821,4.860155,6.058132,2.430077,12.116265
16,Caverna do Bacelinho/ Gruta do Bacelinho/ Buraca Grande da Porta,16,1,777.294549,15.865084,15.865084,0,15.865084,0,15.865084
17,Serra da Lapa,17,2,1554.589099,11.25476,12.472771,1.218011,11.863765,0.609005,23.72753
18,Algar dos Casais da Mureta,18,2,1554.589099,6.162749,6.194297,0.031548,6.178523,0.015774,12.357046
19,Cova da Moura I,19,3,2331.883648,1.148674,10.711458,9.562785,5.068568,4.089682,15.205703
20,Cabeço da Ministra Média,20,1,777.294549,3.9067,3.9067,0,3.9067,0,3.9067
21,Cabeça da Ministra Baixa,21,2,1554.589099,4.134963,4.585495,0.450532,4.360229,0.225266,8.720458
22,Gruta da Quinta dos Morcegos,22,2,1554.589099,4.381105,11.204532,6.823426,7.792819,3.411713,15.585637
23,Lapa do Covão do Geão/ Lapa Comprida do Castelejo,23,2,1554.589099,40.669037,43.829395,3.160358,42.249216,1.580179,84.498432
24,Rede Cársica da Nascente do Almonda - Gruta do Almonda - Galeria da Cisterna,24,2,1554.589099,28.972048,29.041952,0.069904,29.007,0.034952,58.014
25,Gruta das Bocas,25,2,1554.589099,12.352985,13.551372,1.198386,12.952178,0.599193,25.904357
26,Lapa do Sono,26,2,1554.589099,4.244433,6.318864,2.074431,5.281648,1.037215,10.563297
27,Lapa Rasteira do Castelejo,27,1,777.294549,44.140747,44.140747,0,44.140747,0,44.140747
28,Buraca Gloriosa,28,1,777.294549,33.401863,33.401863,0,33.401863,0,33.401863
29,Cova da Presa,29,1,777.294549,8.366499,8.366499,0,8.366499,0,8.366499
30,Gruta do Charco I,30,1,777.294549,31.504662,31.504662,0,31.504662,0,31.504662
31,Gruta do Charco II,31,2,1554.589099,21.271788,24.1854,2.913612,22.728594,1.456806,45.457188
32,Algar da Malhada de Dentro,32,1,777.294549,6.400519,6.400519,0,6.400519,0,6.400519
33,Gruta de Mosqueiros Baixa,33,1,777.294549,11.664055,11.664055,0,11.664055,0,11.664055
34,Pedreiras Velhas 3,34,1,777.294549,2.835079,2.835079,0,2.835079,0,2.835079
35,Lapa do Jerónimo,35,1,777.294549,16.282137,16.282137,0,16.282137,0,16.282137
36,Lapa da Cova,36,2,1554.589099,29.840427,32.973938,3.133511,31.407183,1.566755,62.814365
37,Gruta de Vale Telheiro 2,37,1,777.294549,0.812289,0.812289,0,0.812289,0,0.812289
38,Lapa do Vale da Lapa,38,2,1554.589099,2.296425,6.400519,4.104094,4.348472,2.052047,8.696944
39,Rede Cársica da Nascente do Almonda - Gruta do Pinheiro,39,1,777.294549,6.521021,6.521021,0,6.521021,0,6.521021
40,Gruta dos Brutiais,40,2,1554.589099,4.929098,9.87663,4.947532,7.402864,2.473766,14.805728
41,Gruta da Buraca da Moira,41,2,1554.589099,5.07278,7.973489,2.90071,6.523134,1.450355,13.046269
42,Gruta do Barrocal do Esguicho,42,2,1554.589099,7.119142,9.007335,1.888193,8.063238,0.944097,16.126476
43,Algar do Cerro da Atalaia,43,1,777.294549,3.423203,3.423203,0,3.423203,0,3.423203
44,Gruta do Vale Covo,44,2,1554.589099,4.22897,5.224928,0.995958,4.726949,0.497979,9.453898
45,Gruta da Areia/Varjota,45,1,777.294549,3.442335,3.442335,0,3.442335,0,3.442335
46,Gruta da Figueira,46,2,1554.589099,0.812289,0.812289,0,0.812289,0,1.624579
47,Algarão da Figueira,47,1,777.294549,2.208719,2.208719,0,2.208719,0,2.208719
48,Caverna do Barrocalinho,48,2,1554.589099,11.964747,13.387653,1.422906,12.6762,0.711453,25.352401
49,Gruta de Vale Telheiro,49,1,777.294549,4.054935,4.054935,0,4.054935,0,4.054935
50,Gruta da Companheira,50,2,1554.589099,5.804065,13.929151,8.125085,9.866608,4.062543,19.733216
51,Gruta da Portucheira III,51,1,777.294549,3.856006,3.856006,0,3.856006,0,3.856006
52,Oliveiras 1,52,1,777.294549,4.585495,4.585495,0,4.585495,0,4.585495
53,Gruta da Mata 1,53,1,777.294549,3.079659,3.079659,0,3.079659,0,3.079659
54,Gruta da Mata 2,54,2,1554.589099,5.725008,8.013705,2.288697,6.869357,1.144348,13.738714
55,Lapa do Suão,55,2,1554.589099,7.316062,18.213339,10.897276,12.764701,5.448638,25.529401
56,Sacavém - Largo do Terreirinho,56,1,777.294549,3.628055,3.628055,0,3.628055,0,3.628055
57,Lapa do Picareiro,57,1,777.294549,24.59832,24.59832,0,24.59832,0,24.59832
58,Gruta do Buraco Roto II,58,2,1554.589099,36.011631,37.513935,1.502304,36.762783,0.751152,73.525566
59,Gruta do Pego do Diabo / Loca do Gato,59,1,777.294549,14.786319,14.786319,0,14.786319,0,14.786319
60,Gruta da Figueira/ Serra da Roupa,60,1,777.294549,1.148674,1.148674,0,1.148674,0,1.148674
61,Gruta do Escoural,61,2,1554.589099,0.363286,1.955623,1.592337,1.159455,0.796168,2.318909
62,Fojo dos Morcegos,62,2,1554.589099,2.296425,4.22897,1.932545,3.262697,0.966273,6.525395
63,Gruta das Alcobertas,63,2,1554.589099,16.77438,26.204798,9.430418,21.489589,4.715209,42.979177
64,Gruta da Marmota,64,1,777.294549,4.484484,4.484484,0,4.484484,0,4.484484
65,Lapa do Fumo,65,2,1554.589099,6.953701,10.443262,3.489561,8.698482,1.74478,17.396964
66,Gruta das Lapas,66,1,777.294549,7.316062,7.316062,0,7.316062,0,7.316062
67,Ibne-Ahmmar,67,1,777.294549,4.134963,4.134963,0,4.134963,0,4.134963
68,Grutas do Forte do Cavalo,68,1,777.294549,9.818662,9.818662,0,9.818662,0,9.818662
69,Ribeira do Cavalo,69,1,777.294549,27.049198,27.049198,0,27.049198,0,27.049198
70,Lapa da Rainha 2,70,2,1554.589099,27.246605,30.861202,3.614597,29.053904,1.807299,58.107807
71,Gruta 2 da Portucheira,71,2,1554.589099,2.435563,4.410893,1.97533,3.423228,0.987665,6.846456
72,Rede Cársica da Nascente do Almonda - Gruta da Oliveira,72,1,777.294549,30.369667,30.369667,0,30.369667,0,30.369667
73,Gruta do Poço Velho,73,2,1554.589099,1.027432,1.955623,0.928191,1.491528,0.464095,2.983055
74,Lapa do Reguengo Pequeno,74,1,777.294549,1.851784,1.851784,0,1.851784,0,1.851784
75,Lapa da Rainha 1/ Gruta da Maceira,75,1,777.294549,23.664848,23.664848,0,23.664848,0,23.664848
76,Abrigo de Vale do Junco/ Lapa dos Gaivões,76,1,777.294549,7.584501,7.584501,0,7.584501,0,7.584501
77,Ponte da Laje,77,2,1554.589099,10.123686,10.770066,0.64638,10.446876,0.32319,20.893752
78,Salustreira Menor,78,2,1554.589099,15.71802,20.194078,4.476058,17.956049,2.238029,35.912099
79,Algarão da Goldra,79,1,777.294549,11.839178,11.839178,0,11.839178,0,11.839178
