Site,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
Gruta de Salemas,1554.589099,233,237,4,235,2,470,2,233,233,233
Gruta do Escoural,1554.589099,354,355,1,354.5,0.5,709,2,354,354,354
Gruta do Pego do Diabo / Loca do Gato,777.294549,230,230,0,230,0,230,1,230,230,230
Buraca Escura,777.294549,194,194,0,194,0,194,1,194,194,194
Buraca Grande,777.294549,217,217,0,217,0,217,1,217,217,217
Casa da Moura,777.294549,144,144,0,144,0,144,1,144,144,144
Furninha,1554.589099,29,29,0,29,0,58,1,29,29,29
Gruta do Caldeirão,777.294549,116,116,0,116,0,116,1,116,116,116
Abrigo do Lagar Velho - Lapedo,1554.589099,91,91,0,91,0,182,1,91,91,91
Abrigo Grande das Bocas (Abrigo I das Bocas),777.294549,123,123,0,123,0,123,1,123,123,123
Lapa do Picareiro,777.294549,512,512,0,512,0,512,1,512,512,512
Lapa do Suão,1554.589099,64,70,6,67,3,134,2,64,64,64
Algar da Arroteia,1554.589099,448,457,9,452.5,4.5,905,2,448,448,448
Algar da Rocha da Pena,777.294549,470,470,0,470,0,470,1,470,470,470
Buraca Gloriosa,777.294549,419,419,0,419,0,419,1,419,419,419
Buraca Longa / Gruta da Mina,1554.589099,330,331,1,330.5,0.5,661,2,330,330,330
Columbeira,777.294549,74,74,0,74,0,74,1,74,74,74
Correio-Mor,1554.589099,79,82,3,80.5,1.5,161,2,79,79,79
Cova,777.294549,448,448,0,448,0,448,1,448,448,448
Cova da Moira,777.294549,78,78,0,78,0,78,1,78,78,78
Figueira Brava,1554.589099,51,58,7,54.5,3.5,109,2,51,51,51
Gruta do Caixão,1554.589099,80,91,11,85.5,5.5,171,2,80,80,80
Gruta do Ourão II,1554.589099,54,58,4,56,2,112,2,54,54,54
Gruta dos Morcegos,1554.589099,123,123,0,123,0,246,1,123,123,123
Lapa de Santa Margarida,777.294549,44,44,0,44,0,44,1,44,44,44
Lapa do Vale das Lapas,1554.589099,136,139,3,137.5,1.5,275,2,136,136,136
Milagres,777.294549,74,74,0,74,0,74,1,74,74,74
Pedreira de Alvados,777.294549,472,472,0,472,0,472,1,472,472,472
Ponte da Laje,1554.589099,31,33,2,32,1,64,2,31,31,31
Ribeira do Cavalo,777.294549,82,82,0,82,0,82,1,82,82,82
Abrigo da Cascata,1554.589099,255,258,3,256.5,1.5,513,2,255,255,255
Abrigo da Pala Encarnada,777.294549,126,126,0,126,0,126,1,126,126,126
Abrigo do Pé da Serra,1554.589099,167,173,6,170,3,340,2,167,167,167
Abrigo do Zavial,1554.589099,47,50,3,48.5,1.5,97,2,47,47,47
Cova da Moura,1554.589099,237,240,3,238.5,1.5,477,2,237,237,237
Gruta da Nascente do Almonda - Brecha dos Ursos,777.294549,156,156,0,156,0,156,1,156,156,156
Rede Cársica da Nascente do Almonda - Gruta da Aroeira - Galerias Pesadas,1554.589099,125,135,10,130,5,260,2,125,125,125
Algar do João Ramos/Gruta das Redondas,777.294549,193,193,0,193,0,193,1,193,193,193
Gruta das Alcobertas,1554.589099,401,408,7,404.5,3.5,809,2,401,401,401
Gruta do Carvalhal de Turquel (Algar do Estreito),1554.589099,179,180,1,179.5,0.5,359,2,179,179,179
Gruta dos Casais do Arrife,1554.589099,211,225,14,218,7,436,2,211,211,211
Gruta dos Penedos,1554.589099,87,91,4,89,2,178,2,87,87,87
Rede Cársica da Nascente do Almonda - Gruta da Oliveira,777.294549,146,146,0,146,0,146,1,146,146,146
Rede Cársica da Nascente do Almonda - Lapa dos Coelhos,777.294549,100,100,0,100,0,100,1,100,100,100
Redondas,777.294549,166,166,0,166,0,166,1,166,166,166
Vale da Lapa,1554.589099,145,148,3,146.5,1.5,293,2,145,145,145
Valinho da Curvachia,1554.589099,98,100,2,99,1,198,2,98,98,98
Abrigo 1 de Vale dos Covões,1554.589099,285,296,11,290.5,5.5,581,2,285,285,285
Abrigo II,1554.589099,87,88,1,87.5,0.5,175,2,87,87,87
Abrigo do Arrife do Almonda,777.294549,141,141,0,141,0,141,1,141,141,141
Rocha da Gralheira,777.294549,287,287,0,287,0,287,1,287,287,287
Furadouro,777.294549,324,324,0,324,0,324,1,324,324,324
Lapa do Anecrial,777.294549,340,340,0,340,0,340,1,340,340,340
Gruta do Ourão,1554.589099,40,45,5,42.5,2.5,85,2,40,40,40
Gruta do Poço Velho,1554.589099,13,13,0,13,0,26,1,13,13,13
Lapa da Rainha 1/ Gruta da Maceira,777.294549,23,23,0,23,0,23,1,23,23,23
Rede Cársica da Nascente do Almonda - Gruta do Almonda - Galeria da Cisterna,1554.589099,123,133,10,128,5,256,2,123,123,123
Abrigo do Alecrim,1554.589099,107,113,6,110,3,220,2,107,107,107
