Site,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
Gruta de Salemas,1554.589099,322.125031,327.264771,5.13974,324.694901,2.56987,649.389801
Gruta do Escoural,1554.589099,66.801407,315,248.198593,190.900703,124.099297,381.801407
Gruta do Pego do Diabo / Loca do Gato,777.294549,339.102234,339.102234,0,339.102234,0,339.102234
Buraca Escura,777.294549,357.424408,357.424408,0,357.424408,0,357.424408
Buraca Grande,777.294549,194.743561,194.743561,0,194.743561,0,194.743561
Casa da Moura,777.294549,4.398705,4.398705,0,4.398705,0,4.398705
Furninha,777.294549,78.690071,78.690071,0,78.690071,0,78.690071
Gruta do Caldeirão,777.294549,353.157227,353.157227,0,353.157227,0,353.157227
Abrigo do Lagar Velho - Lapedo,1554.589099,2.602561,347.735229,345.132668,175.168895,172.566334,350.337791
Abrigo Grande das Bocas (Abrigo I das Bocas),777.294549,21.03751,21.03751,0,21.03751,0,21.03751
Lapa do Picareiro,777.294549,278.44754,278.44754,0,278.44754,0,278.44754
Lapa do Suão,1554.589099,109.916405,114.775139,4.858734,112.345772,2.429367,224.691544
Algar da Arroteia,1554.589099,113.682091,122.471191,8.789101,118.076641,4.39455,236.153282
Algar da Rocha da Pena,777.294549,175.236359,175.236359,0,175.236359,0,175.236359
Buraca Gloriosa,777.294549,225,225,0,225,0,225
Buraca Longa / Gruta da Mina,1554.589099,144.462326,248.198593,103.736267,196.33046,51.868134,392.660919
Columbeira,777.294549,47.862404,47.862404,0,47.862404,0,47.862404
Correio-Mor,1554.589099,13.392497,45,31.607503,29.196249,15.803751,58.392497
Cova,777.294549,235.366318,235.366318,0,235.366318,0,235.366318
Cova da Moira,777.294549,135,135,0,135,0,135
Figueira Brava,1554.589099,131.7603,138.416595,6.656296,135.088448,3.328148,270.176895
Gruta do Caixão,1554.589099,17.386972,59.381393,41.994421,38.384183,20.997211,76.768366
Gruta do Ourão II,1554.589099,128.480194,132.614059,4.133865,130.547127,2.066933,261.094254
Gruta dos Morcegos,1554.589099,208.300751,233.130096,24.829346,220.715424,12.414673,441.430847
Lapa de Santa Margarida,777.294549,141.115509,141.115509,0,141.115509,0,141.115509
Lapa do Vale das Lapas,1554.589099,327.264771,351.869904,24.605133,339.567337,12.302567,679.134674
Milagres,777.294549,191.725113,191.725113,0,191.725113,0,191.725113
Pedreira de Alvados,777.294549,329.420776,329.420776,0,329.420776,0,329.420776
Ponte da Laje,1554.589099,61.50436,81.869896,20.365536,71.687128,10.182768,143.374256
Ribeira do Cavalo,777.294549,253.156189,253.156189,0,253.156189,0,253.156189
Abrigo da Cascata,1554.589099,145.437469,146.633636,1.196167,146.035553,0.598083,292.071106
Abrigo da Pala Encarnada,777.294549,104.470291,104.470291,0,104.470291,0,104.470291
Abrigo do Pé da Serra,1554.589099,103.079124,113.907661,10.828537,108.493393,5.414268,216.986786
Abrigo do Zavial,777.294549,252.428741,252.428741,0,252.428741,0,252.428741
Cova da Moura,1554.589099,135,143.130096,8.130096,139.065048,4.065048,278.130096
Gruta da Nascente do Almonda - Brecha dos Ursos,777.294549,90,90,0,90,0,90
Rede Cársica da Nascente do Almonda - Gruta da Aroeira - Galerias Pesadas,1554.589099,141.809052,146.560135,4.751083,144.184593,2.375542,288.369186
Algar do João Ramos/Gruta das Redondas,777.294549,143.130096,143.130096,0,143.130096,0,143.130096
Gruta das Alcobertas,1554.589099,113.061523,120.379128,7.317604,116.720325,3.658802,233.440651
Gruta do Carvalhal de Turquel (Algar do Estreito),1554.589099,11.309932,315,303.690068,163.154966,151.845034,326.309932
Gruta dos Casais do Arrife,1554.589099,165.203232,174.351761,9.148529,169.777496,4.574265,339.554993
Gruta dos Penedos,1554.589099,171.158188,213.111343,41.953156,192.134766,20.976578,384.269531
Rede Cársica da Nascente do Almonda - Gruta da Oliveira,777.294549,99.246117,99.246117,0,99.246117,0,99.246117
Rede Cársica da Nascente do Almonda - Lapa dos Coelhos,777.294549,130.683975,130.683975,0,130.683975,0,130.683975
Redondas,777.294549,210.96376,210.96376,0,210.96376,0,210.96376
Vale da Lapa,1554.589099,228.691391,234.865814,6.174423,231.778603,3.087212,463.557205
Valinho da Curvachia,1554.589099,317.726318,338.498566,20.772247,328.112442,10.386124,656.224884
Abrigo 1 de Vale dos Covões,1554.589099,213.366364,232.253189,18.886826,222.809776,9.443413,445.619553
Abrigo II,1554.589099,190.619659,191.821487,1.201828,191.220573,0.600914,382.441147
Abrigo do Arrife do Almonda,777.294549,150.945389,150.945389,0,150.945389,0,150.945389
Rocha da Gralheira,777.294549,191.888657,191.888657,0,191.888657,0,191.888657
Furadouro,777.294549,58.270645,58.270645,0,58.270645,0,58.270645
Lapa do Anecrial,777.294549,348.424805,348.424805,0,348.424805,0,348.424805
Gruta do Ourão,1554.589099,266.633545,291.370636,24.737091,279.00209,12.368546,558.004181
Gruta do Poço Velho,1554.589099,180,293.198578,113.198578,236.599289,56.599289,473.198578
Lapa da Rainha 1/ Gruta da Maceira,777.294549,283.609741,283.609741,0,283.609741,0,283.609741
Rede Cársica da Nascente do Almonda - Gruta do Almonda - Galeria da Cisterna,1554.589099,111.370621,128.443054,17.072433,119.906837,8.536217,239.813675
Abrigo do Alecrim,1554.589099,125.537682,127.874985,2.337303,126.706333,1.168652,253.412666
