Site,Order,Distance
Gruta de Salemas,1,293
Gruta do Escoural,1,2379
Gruta do Pego do Diabo / Loca do Gato,2,348
Buraca Escura,2,67
Buraca Grande,2,39
Casa da Moura,1,1452
Furninha,2,3945
Gruta do Caldeirão,4,283
Abrigo do Lagar Velho - Lapedo,3,27
Abrigo Grande das Bocas (Abrigo I das Bocas),2,60
Lapa do Picareiro,1,1785
Lapa do Suão,1,18
Algar da Arroteia,1,192
Algar da Rocha da Pena,1,2150
Buraca Gloriosa,1,1634
Buraca Longa / Gruta da Mina,2,351
Columbeira,1,6
Correio-Mor,1,597
Cova,1,1609
Cova da Moira,2,47
Figueira Brava,1,2748
Gruta do Caixão,1,120
Gruta do Ourão II,2,914
Gruta dos Morcegos,4,133
Lapa de Santa Margarida,1,3002
Lapa do Vale das Lapas,1,72
Milagres,2,580
Pedreira de Alvados,1,1667
Ponte da Laje,1,0
Ribeira do Cavalo,1,5305
Abrigo da Cascata,3,513
Abrigo da Pala Encarnada,3,60
Abrigo do Pé da Serra,1,1457
Abrigo do Zavial,1,579
Cova da Moura,1,387
Gruta da Nascente do Almonda - Brecha dos Ursos,1,98
Rede Cársica da Nascente do Almonda - Gruta da Aroeira - Galerias Pesadas,1,6
Algar do João Ramos/Gruta das Redondas,1,492
Gruta das Alcobertas,1,708
Gruta do Carvalhal de Turquel (Algar do Estreito),1,285
Gruta dos Casais do Arrife,1,796
Gruta dos Penedos,1,22
Rede Cársica da Nascente do Almonda - Gruta da Oliveira,1,101
Rede Cársica da Nascente do Almonda - Lapa dos Coelhos,1,58
Redondas,1,141
Vale da Lapa,1,175
Valinho da Curvachia,1,137
Abrigo 1 de Vale dos Covões,1,767
Abrigo II,3,21
Abrigo do Arrife do Almonda,1,11
Abrigo do Vale da Canada,1,1609
Rocha da Gralheira,1,1104
Furadouro,1,2027
Lapa do Anecrial,1,1702
Gruta do Ourão,2,944
Gruta do Poço Velho,2,142
Lapa da Rainha 1/ Gruta da Maceira,3,52
Rede Cársica da Nascente do Almonda - Gruta do Almonda - Galeria da Cisterna,1,53
Abrigo do Alecrim,3,8
