OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
1,1,777.294549,454,454,0,454,0,454,1,454,454,454
2,1,777.294549,502,502,0,502,0,502,1,502,502,502
3,2,1554.589099,176,176,0,176,0,352,1,176,176,176
4,1,777.294549,204,204,0,204,0,204,1,204,204,204
5,2,1554.589099,679,680,1,679.5,0.5,1359,2,679,679,679
6,2,1554.589099,798,804,6,801,3,1602,2,798,798,798
7,1,777.294549,91,91,0,91,0,91,1,91,91,91
8,2,1554.589099,160,160,0,160,0,320,1,160,160,160
9,2,1554.589099,75,75,0,75,0,150,1,75,75,75
10,1,777.294549,209,209,0,209,0,209,1,209,209,209
11,1,777.294549,9,9,0,9,0,9,1,9,9,9
12,2,1554.589099,198,198,0,198,0,396,1,198,198,198
13,2,1554.589099,58,59,1,58.5,0.5,117,2,58,58,58
14,1,777.294549,473,473,0,473,0,473,1,473,473,473
15,1,777.294549,737,737,0,737,0,737,1,737,737,737
16,2,1554.589099,127,139,12,133,6,266,2,127,127,127
17,1,777.294549,84,84,0,84,0,84,1,84,84,84
18,2,1554.589099,273,289,16,281,8,562,2,273,273,273
19,1,777.294549,93,93,0,93,0,93,1,93,93,93
20,2,1554.589099,1020,1023,3,1021.5,1.5,2043,2,1020,1020,1020
21,2,1554.589099,107,108,1,107.5,0.5,215,2,107,107,107
22,1,777.294549,768,768,0,768,0,768,1,768,768,768
23,1,777.294549,249,249,0,249,0,249,1,249,249,249
24,2,1554.589099,513,516,3,514.5,1.5,1029,2,513,513,513
25,2,1554.589099,18,18,0,18,0,36,1,18,18,18
26,2,1554.589099,337,338,1,337.5,0.5,675,2,337,337,337
27,2,1554.589099,799,801,2,800,1,1600,2,799,799,799
28,1,777.294549,706,706,0,706,0,706,1,706,706,706
29,2,1554.589099,209,210,1,209.5,0.5,419,2,209,209,209
30,1,777.294549,261,261,0,261,0,261,1,261,261,261
31,2,1554.589099,224,226,2,225,1,450,2,224,224,224
32,2,1554.589099,234,234,0,234,0,468,1,234,234,234
33,2,1554.589099,115,117,2,116,1,232,2,115,115,115
34,1,777.294549,61,61,0,61,0,61,1,61,61,61
35,1,777.294549,669,669,0,669,0,669,1,669,669,669
36,1,777.294549,331,331,0,331,0,331,1,331,331,331
37,2,1554.589099,113,116,3,114.5,1.5,229,2,113,113,113
38,2,1554.589099,109,116,7,112.5,3.5,225,2,109,109,109
39,1,777.294549,361,361,0,361,0,361,1,361,361,361
40,2,1554.589099,354,358,4,356,2,712,2,354,354,354
41,1,777.294549,211,211,0,211,0,211,1,211,211,211
42,1,777.294549,177,177,0,177,0,177,1,177,177,177
43,1,777.294549,48,48,0,48,0,48,1,48,48,48
