OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,1,777.294549,91.548157,91.548157,0,91.548157,0,91.548157
2,1,777.294549,260.537689,260.537689,0,260.537689,0,260.537689
3,2,1554.589099,161.565048,232.125015,70.559967,196.845032,35.279984,393.690063
4,1,777.294549,274.635468,274.635468,0,274.635468,0,274.635468
5,2,1554.589099,17.354025,321.709839,304.355814,169.531932,152.177907,339.063864
6,2,1554.589099,34.460815,60.01836,25.557545,47.239588,12.778772,94.479176
7,1,777.294549,77.471191,77.471191,0,77.471191,0,77.471191
8,2,1554.589099,191.309937,288.434937,97.125,239.872437,48.5625,479.744873
9,2,1554.589099,6.340191,21.801409,15.461218,14.0708,7.730609,28.1416
10,1,777.294549,8.130101,8.130101,0,8.130101,0,8.130101
11,1,777.294549,270,270,0,270,0,270
12,2,1554.589099,135,300.963745,165.963745,217.981873,82.981873,435.963745
13,2,1554.589099,148.240524,165.96376,17.723236,157.102142,8.861618,314.204285
14,1,777.294549,288.434937,288.434937,0,288.434937,0,288.434937
15,1,777.294549,248.428696,248.428696,0,248.428696,0,248.428696
16,2,1554.589099,102.225121,109.653824,7.428703,105.939472,3.714352,211.878944
17,1,777.294549,49.899094,49.899094,0,49.899094,0,49.899094
18,2,1554.589099,163.072495,163.835495,0.763,163.453995,0.3815,326.90799
19,1,777.294549,55.784298,55.784298,0,55.784298,0,55.784298
20,2,1554.589099,151.557068,156.250504,4.693436,153.903786,2.346718,307.807571
21,2,1554.589099,54.462322,63.434948,8.972626,58.948635,4.486313,117.89727
22,1,777.294549,334.983093,334.983093,0,334.983093,0,334.983093
23,1,777.294549,154.536652,154.536652,0,154.536652,0,154.536652
24,2,1554.589099,30.465544,34.695152,4.229609,32.580348,2.114804,65.160696
25,2,1554.589099,191.309937,210.96376,19.653824,201.136848,9.826912,402.273697
26,2,1554.589099,-1,18.434948,19.434948,8.717474,9.717474,17.434948
27,2,1554.589099,198.434952,202.380142,3.94519,200.407547,1.972595,400.815094
