OBJECTID_1 *,OID_1,Order,Distance
1,47,3,3412.024797
2,533,2,980.133879
3,537,2,3386.842065
4,538,2,2571.785713
5,553,2,45.652312
6,333,3,645.332352
7,35,2,948.342768
8,45,3,3455.028826
9,445,3,536.529295
10,523,2,946.052478
11,278,2,1146.363633
12,171,2,2841.502692
13,561,4,728.933146
14,450,3,1901.794508
15,93,4,206.87255
16,558,4,1925.707672
17,104,2,2434.152028
18,383,2,4655.848391
19,210,2,5120.601669
20,137,2,1159.937208
21,451,2,2612.632079
22,20,2,3168.793281
23,469,4,904.866797
24,66,2,198.657446
25,510,3,253.060107
26,455,4,2968.75943
27,466,2,3666.33639
28,194,4,795.954406
29,147,2,1340.507833
30,324,2,80.26921
31,303,2,1831.072436
32,27,2,1835.222307
33,121,2,1959.645108
34,362,4,852.706996
35,331,2,5160.181526
36,546,2,1591.004453
37,221,2,2253.718714
38,460,2,4516.404331
39,167,4,318.823322
40,332,2,962.51085
41,216,2,4049.912006
42,228,2,1657.524579
43,235,2,3199.704392
44,220,2,3139.740215
45,459,4,204.406093
46,22,2,1023.937785
47,231,2,804.065569
48,352,4,271.147559
49,289,2,2584.795754
50,441,2,3075.0201
51,565,2,1819.94907
52,270,2,4953.227851
53,267,3,586.374313
54,504,2,4796.511727
55,454,2,4087.618006
56,321,3,1331.263152
57,393,3,2462.168451
58,350,2,2252.504032
59,250,3,1109.123835
60,132,2,1978.860621
61,82,2,393.647957
62,130,2,2209.161248
63,187,7,792.363886
64,336,2,22.204844
65,367,5,613.223268
66,186,3,2586.987077
67,357,3,2691.011069
68,58,2,1925.746539
69,31,3,2398.876338
70,306,2,890.272169
71,326,4,475.901725
72,1,2,4508.189836
73,446,4,3724.361102
74,554,2,2624.217225
75,257,2,3295.392187
76,103,2,3031.385403
77,467,2,7.391455
78,534,2,2234.465322
79,263,2,4531.520968
80,68,2,672.698602
81,371,5,1811.185888
82,97,2,5197.610551
83,429,2,4129.778414
84,461,3,1021.026029
85,98,2,5116.512181
86,476,2,2110.184412
87,522,2,3470.268004
88,560,3,1449.71956
89,207,2,868.281684
90,214,2,2717.898113
91,356,2,260.077914
92,15,2,5214.384049
93,6,7,5157.538223
94,178,3,2956.164946
95,148,3,1253.190191
96,18,7,1633.947733
97,520,2,2558.143204
98,213,7,179.251755
99,304,3,1664.75366
100,101,2,171.888923
101,262,2,1663.915655
102,5,3,3722.27524
103,259,3,601.827035
104,40,3,2030.438311
105,38,2,2370.431505
106,489,2,348.809212
107,368,2,1457.80989
108,317,2,3751.633977
109,381,2,1518.879252
110,457,2,2439.607819
111,67,3,265.23903
112,563,2,1384.968395
113,240,2,5140.033691
114,452,2,1711.889773
115,133,3,923.844852
116,532,2,3253.660664
117,246,2,3330.598229
118,252,2,21.519977
119,456,3,2677.123334
120,436,2,2366.537035
121,79,2,5432.709704
122,275,2,1753.860866
123,118,2,372.802267
124,435,3,116.633157
125,200,2,1829.768089
126,302,2,47.493546
127,488,2,2205.164612
128,521,2,1519.57995
129,422,2,2512.704154
130,120,2,2290.716398
131,404,2,75.740804
132,269,2,287.251749
133,182,2,33.863386
134,185,2,2363.570841
135,500,2,3928.8326
136,444,2,997.434754
137,369,2,4504.101565
138,300,2,1938.265768
139,366,2,823.401203
140,208,3,490.067105
141,264,3,202.51016
142,346,4,91.715578
143,439,2,449.8417
144,32,4,1230.435153
145,181,4,5493.950573
146,78,2,2092.62338
147,421,3,150.060728
148,430,2,2734.715836
149,232,2,4586.396766
150,351,2,841.890978
151,174,2,1099.696323
152,412,2,2679.144307
153,285,2,1889.38241
154,48,3,960.31767
155,344,4,6.918702
156,535,4,3013.04629
157,364,5,1917.009853
158,564,4,1092.559397
159,501,4,5315.628674
160,154,4,179.25366
161,545,2,5685.757996
162,140,2,3405.472912
163,196,2,1931.427833
164,198,2,4945.580942
165,348,3,3059.105827
166,315,3,1911.199825
167,462,3,2155.47028
168,492,2,1438.052208
169,115,2,4354.081249
170,567,2,3835.719605
171,41,2,94.607642
172,73,2,1396.54043
173,525,2,1214.448464
174,100,2,5986.376012
175,10,3,36.403908
176,394,2,3898.854139
177,384,3,90.874961
178,150,2,1433.926722
179,410,3,974.2238
180,87,2,973.383931
181,473,3,479.788764
182,274,4,1358.462092
183,416,2,1946.515734
184,61,2,2639.833752
185,478,2,1322.025855
186,507,2,2860.55498
187,287,3,1113.285499
188,13,2,763.219754
189,80,2,410.289939
190,247,2,334.426808
191,117,2,2571.585155
192,552,2,5075.447838
193,142,2,1251.010202
194,249,2,299.301462
195,319,3,1226.176
196,149,4,1633.953716
197,347,4,1736.280967
198,293,2,92.662257
199,292,3,2184.203341
200,388,2,2899.467547
201,2,2,148.822685
202,91,2,1796.636237
203,169,2,1686.139258
204,477,2,1512.558649
205,128,2,830.750867
206,30,2,1491.27178
207,526,5,387.883239
208,379,3,631.8126
209,503,2,4715.600894
210,550,4,350.954279
211,483,3,193.845334
212,433,2,1331.091187
213,330,3,177.623937
214,320,3,3260.515221
215,59,2,2072.335695
216,53,2,370.796549
217,65,4,1717.917242
218,556,4,5702.521013
219,248,2,2206.298609
220,89,2,1560.65566
221,126,4,520.97321
222,408,2,4218.481759
223,180,2,4467.863939
224,166,2,4100.904835
225,395,2,3880.238493
226,50,2,537.506536
227,475,3,1869.257889
228,159,3,4778.492467
229,284,2,1418.618174
230,527,3,714.447616
231,396,3,3453.942733
232,424,3,2587.463154
233,110,2,637.042379
234,280,2,2239.769134
235,215,4,121.153784
236,480,2,1984.70893
237,51,5,154.979701
238,202,5,712.000551
239,251,2,2107.095641
240,62,2,2036.432808
241,566,2,1447.143566
242,44,2,5072.192549
243,28,2,2184.180264
244,448,2,2043.022891
245,497,3,2111.29205
246,218,2,1153.381816
247,528,2,2092.119545
248,39,3,553.617155
249,358,2,1192.092884
250,273,4,990.508878
251,374,2,749.344618
252,160,2,626.44928
253,305,3,2667.663173
254,568,2,4135.22806
255,547,4,746.703929
256,294,2,1168.290212
257,313,2,2204.139283
258,203,2,985.344281
259,211,2,2724.824498
260,241,3,3427.055842
261,111,2,3292.264158
262,14,2,3684.063519
263,329,2,2948.0843
264,341,2,306.581288
265,389,2,34.201209
266,555,2,845.960386
267,398,2,4245.265141
268,3,2,2900.008807
269,299,5,1472.199246
270,309,2,2636.497621
271,498,2,3731.985897
272,165,2,3005.3816
273,179,2,3831.482514
274,175,2,976.118783
275,543,2,407.928538
276,16,2,94.384491
277,209,6,4469.358317
278,245,2,187.099213
279,122,6,1292.389276
280,471,2,2948.717719
281,85,2,2193.433685
282,360,2,519.771255
283,413,2,156.480648
284,239,3,734.558683
285,519,2,2540.921106
286,307,2,1418.874583
287,107,2,1080.397375
288,434,3,2602.653661
289,409,2,1915.550564
290,517,2,1420.704518
291,4,2,5129.07341
292,312,3,3138.84315
293,153,2,3837.829996
294,266,2,1387.539371
295,279,2,439.29253
296,373,2,2499.147975
297,199,2,1105.619957
298,339,3,2174.704101
299,26,2,1751.132501
300,163,2,2761.537069
301,322,2,6082.818093
302,83,2,1373.29364
303,60,2,270.521139
304,402,2,1882.218482
305,72,2,3304.676889
306,298,2,1213.802158
307,57,2,1170.478555
308,54,2,1018.123391
309,372,2,1390.94545
310,116,2,4179.232926
311,286,2,3033.685892
312,242,6,369.81838
313,314,2,711.051844
314,243,2,2636.678954
315,258,2,409.132463
316,541,2,1752.209464
317,499,2,3389.788142
318,479,2,7743.636936
319,11,2,217.932564
320,188,6,785.176293
321,361,2,4650.056323
322,423,3,671.648631
323,531,2,994.849695
324,468,2,2296.65441
325,391,3,400.828082
326,335,2,4887.594007
327,193,4,1418.908845
