OBJECTID_1,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,777.294549,9.42237,9.42237,0,9.42237,0,9.42237
2,777.294549,3.122055,3.122055,0,3.122055,0,3.122055
3,1554.589099,1.624252,2.9264,1.302148,2.275326,0.651074,4.550652
4,777.294549,9.449347,9.449347,0,9.449347,0,9.449347
5,1554.589099,6.194297,8.548378,2.354081,7.371337,1.177041,14.742675
6,1554.589099,15.064677,15.500047,0.435369,15.282362,0.217685,30.564724
7,777.294549,4.72599,4.72599,0,4.72599,0,4.72599
8,1554.589099,0.812289,2.617907,1.805617,1.715098,0.902809,3.430196
9,1554.589099,2.324922,2.764596,0.439674,2.544759,0.219837,5.089517
10,777.294549,1.815848,1.815848,0,1.815848,0,1.815848
11,777.294549,1.027432,1.027432,0,1.027432,0,1.027432
12,1554.589099,0.363286,1.497547,1.134261,0.930417,0.56713,1.860833
13,1554.589099,6.318864,6.32913,0.010266,6.323997,0.005133,12.647994
14,777.294549,18.792091,18.792091,0,18.792091,0,18.792091
15,777.294549,11.712105,11.712105,0,11.712105,0,11.712105
16,1554.589099,21.79707,28.832949,7.035879,25.315009,3.51794,50.630018
17,777.294549,12.556839,12.556839,0,12.556839,0,12.556839
18,1554.589099,28.322594,32.789238,4.466644,30.555916,2.233322,61.111832
19,777.294549,7.719232,7.719232,0,7.719232,0,7.719232
20,1554.589099,13.752868,13.761744,0.008876,13.757306,0.004438,27.514611
21,1554.589099,2.208719,2.296425,0.087705,2.252572,0.043853,4.505144
22,777.294549,4.244433,4.244433,0,4.244433,0,4.244433
23,777.294549,11.781126,11.781126,0,11.781126,0,11.781126
24,1554.589099,8.069653,10.029444,1.959791,9.049548,0.979896,18.099096
25,1554.589099,1.309637,1.497547,0.18791,1.403592,0.093955,2.807184
26,1554.589099,0,1.624252,1.624252,0.812126,0.812126,1.624252
27,1554.589099,3.245898,4.712132,1.466234,3.979015,0.733117,7.95803
28,777.294549,20.358665,20.358665,0,20.358665,0,20.358665
29,1554.589099,3.345572,4.835396,1.489825,4.090484,0.744912,8.180968
30,777.294549,8.419976,8.419976,0,8.419976,0,8.419976
31,1554.589099,5.433025,7.200379,1.767354,6.316702,0.883677,12.633404
32,1554.589099,23.208603,24.612873,1.40427,23.910738,0.702135,47.821476
33,1554.589099,2.764596,3.286134,0.521538,3.025365,0.260769,6.050729
34,777.294549,5.274648,5.274648,0,5.274648,0,5.274648
35,777.294549,23.032921,23.032921,0,23.032921,0,23.032921
36,777.294549,14.167391,14.167391,0,14.167391,0,14.167391
