OBJECTID *,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,2,1554.589099,0,135,135,67.5,67.5,135
2,2,1554.589099,190.00798,205.559967,15.551987,197.783974,7.775993,395.567947
3,2,1554.589099,33.690067,35.537678,1.84761,34.613873,0.923805,69.227745
4,2,1554.589099,229.398712,249.227753,19.829041,239.313232,9.91452,478.626465
5,2,1554.589099,99.462326,105.255119,5.792793,102.358723,2.896397,204.717445
6,2,1554.589099,129.805573,167.735229,37.929657,148.770401,18.964828,297.540802
7,2,1554.589099,307.874969,333.434937,25.559967,320.654953,12.779984,641.309906
8,2,1554.589099,233.426971,239.534454,6.107483,236.480713,3.053741,472.961426
9,2,1554.589099,101.309929,135,33.690071,118.154964,16.845036,236.309929
10,2,1554.589099,48.576336,59.743561,11.167225,54.159948,5.583612,108.319897
11,2,1554.589099,135,153.434952,18.434952,144.217476,9.217476,288.434952
12,2,1554.589099,270,270,0,270,0,540
13,2,1554.589099,58.24052,74.53878,16.29826,66.38965,8.14913,132.779301
14,1,777.294549,28.300755,28.300755,0,28.300755,0,28.300755
15,2,1554.589099,8.972626,26.56505,17.592424,17.768838,8.796212,35.537676
16,2,1554.589099,315,341.565063,26.565063,328.282532,13.282532,656.565063
17,2,1554.589099,161.565048,243.434952,81.869904,202.5,40.934952,405
18,1,777.294549,326.309937,326.309937,0,326.309937,0,326.309937
19,1,777.294549,339.775146,339.775146,0,339.775146,0,339.775146
20,1,777.294549,270,270,0,270,0,270
21,2,1554.589099,167.471191,172.874985,5.403793,170.173088,2.701897,340.346176
22,2,1554.589099,150.068481,153.970413,3.901932,152.019447,1.950966,304.038895
23,2,1554.589099,350.837646,357.95459,7.116943,354.396118,3.558472,708.792236
24,1,777.294549,14.036242,14.036242,0,14.036242,0,14.036242
25,1,777.294549,137.489548,137.489548,0,137.489548,0,137.489548
26,1,777.294549,212.471191,212.471191,0,212.471191,0,212.471191
27,1,777.294549,222.95459,222.95459,0,222.95459,0,222.95459
28,1,777.294549,5.710592,5.710592,0,5.710592,0,5.710592
29,1,777.294549,178.399979,178.399979,0,178.399979,0,178.399979
30,1,777.294549,130.914383,130.914383,0,130.914383,0,130.914383
31,1,777.294549,143.130096,143.130096,0,143.130096,0,143.130096
32,1,777.294549,244.653824,244.653824,0,244.653824,0,244.653824
33,2,1554.589099,233.130096,250.463348,17.333252,241.796722,8.666626,483.593445
34,2,1554.589099,78.690071,90,11.309929,84.345036,5.654964,168.690071
35,2,1554.589099,116.565048,118.300758,1.73571,117.432903,0.867855,234.865807
36,2,1554.589099,111.801407,258.690063,146.888657,185.245735,73.444328,370.49147
37,1,777.294549,45,45,0,45,0,45
38,2,1554.589099,221.633545,244.653824,23.020279,233.143684,11.510139,466.287369
39,2,1554.589099,338.498566,355.462219,16.963654,346.980392,8.481827,693.960785
40,1,777.294549,258.690063,258.690063,0,258.690063,0,258.690063
41,1,777.294549,337.380127,337.380127,0,337.380127,0,337.380127
42,2,1554.589099,122.905243,150.524109,27.618866,136.714676,13.809433,273.429352
43,2,1554.589099,94.398705,334.983093,240.584389,214.690899,120.292194,429.381798
44,2,1554.589099,50.710594,53.365887,2.655293,52.03824,1.327646,104.076481
45,2,1554.589099,59.036243,68.629379,9.593136,63.832811,4.796568,127.665623
46,2,1554.589099,261.158173,265.006256,3.848083,263.082214,1.924042,526.164429
47,2,1554.589099,273.814087,276.842773,3.028687,275.32843,1.514343,550.65686
48,1,777.294549,187.305756,187.305756,0,187.305756,0,187.305756
