OBJECTID_1 *,Order,Distance
1,1,1608.3
2,1,1070.9
3,3,16.1
4,2,974.2
5,1,1070.5
6,1,3300.7
7,1,2513.7
8,1,2370.2
9,1,0.8
10,2,744.3
11,2,33.5
12,1,843.3
13,3,1370.7
14,1,597.7
15,1,484.5
16,3,511.4
17,1,456.7
18,2,535.2
19,2,625.9
20,1,1959.5
21,1,594.4
22,1,2406.9
23,1,843
24,1,1158.3
25,1,456.4
26,4,1926.4
27,1,161.8
28,2,747.7
29,2,305.2
30,1,748.1
31,1,385.2
32,1,1774
33,1,128
34,3,870.5
35,1,75.9
36,1,2408.2
37,3,46.4
38,3,1054.5
39,1,2053.1
40,1,1370.3
41,1,161.1
42,2,291.8
43,1,953.6
44,2,153.2
45,1,588
46,1,2606.3
47,1,804.3
48,1,344.6
49,1,999.8
50,1,15.9
51,1,1691
52,1,152.6
53,3,148.2
54,1,1650.6
55,1,950.6
56,1,341.3
57,2,579.8
58,2,678.1
59,2,1032.3
60,3,129.5
61,1,238.6
62,1,2027.3
63,1,276.2
64,3,398.1
65,1,597
66,1,960.3
67,1,48.9
68,1,1382.9
69,2,263.6
70,1,1206.5
71,1,1839.7
72,1,961.9
73,1,1672.3
74,5,1789.7
75,3,167.5
76,1,157.8
77,1,1558.3
78,2,1407.1
79,1,216.5
80,3,1679.7
81,3,830.2
82,1,2493.3
83,1,182.8
84,1,1939.7
85,1,772.3
86,3,1301.4
87,1,873.5
88,1,137.8
89,1,1461.9
90,3,127.2
91,1,1055.4
92,1,662.5
93,2,721.8
94,1,289.7
95,3,1210.9
96,1,1536.6
97,1,668.2
98,1,450
99,1,2324.4
100,1,1524
101,2,1224.4
102,2,1367.8
103,1,1337.8
104,1,371.2
105,1,1030.6
106,1,880.6
107,1,580.8
108,3,187
109,2,942.1
110,1,2663.7
111,1,572.3
112,1,76.1
113,1,263.4
114,1,649.2
115,5,157.1
116,2,265.2
117,1,2127.7
118,1,499
119,2,383.7
120,1,11.2
121,2,311.9
122,1,2238.2
123,2,1327.9
124,1,505.9
125,1,526.9
126,1,732.5
127,1,1683.7
128,3,672.7
129,1,1912.1
130,5,1322.9
131,1,1017.4
132,3,535.2
133,1,703.1
134,2,40.2
135,1,217.8
136,1,686.2
137,1,271.4
138,1,1293.9
139,2,413.3
140,2,387.5
141,2,132.4
142,3,370.4
143,1,1465.9
144,1,2370.6
145,1,1915.9
146,2,383.2
147,1,483.3
148,1,1336.3
149,2,1950.4
150,1,1056.3
151,2,36.6
152,1,1633
153,3,1345.8
154,3,422.8
155,4,1252.6
156,4,480
157,2,1202.7
158,2,1077.6
159,4,143.6
160,1,1766
161,3,293.8
162,6,152.6
163,2,343.7
164,3,1360.6
165,2,1139.7
166,1,82.8
167,1,1187.6
168,2,1346.7
169,1,1762
170,2,350.4
171,1,1737.5
172,1,988.2
173,1,2305.2
174,1,1296.1
175,1,371.2
176,1,884.2
177,1,1176.1
178,2,249.3
179,1,1183.5
180,1,146.1
181,1,96.6
182,1,1466.7
183,1,689.3
184,2,1344.9
185,1,1161
186,2,197.9
187,1,851.8
188,1,222.7
189,1,382.1
190,4,1109.8
191,1,864.2
192,1,613.1
193,1,1820.7
194,1,592.4
195,1,216
196,3,177.1
197,1,1331.5
198,1,1062.6
199,1,2107.8
200,1,364.8
201,5,445.2
202,1,380.9
203,1,1782.4
204,2,588.2
205,1,679.1
206,1,1039.6
207,1,454.2
208,5,899.4
209,1,764.7
210,2,1334.3
211,1,744.7
212,1,1017.2
213,1,913.2
214,1,561.5
215,1,1583.1
216,2,1728.9
217,2,700.1
218,3,2037.2
219,2,313.3
220,2,1175.4
221,4,476.5
222,1,2222.5
223,1,1978.5
224,2,1131.3
225,1,109
226,2,477.9
227,2,1343.7
228,1,80.9
229,2,880.2
230,3,491.5
231,1,214.5
232,1,1350.8
233,3,2652
234,1,361.3
235,1,1217
236,3,170
237,1,249.3
238,1,1086.8
239,1,1007.9
240,1,1085.1
241,1,302.3
242,1,1110.6
243,1,2221.6
244,2,152.3
245,1,1437
246,2,582.6
247,1,696.3
248,1,383.4
249,3,199.3
250,1,1413.7
251,3,129.5
252,1,2272.9
253,1,1275.8
254,3,547.9
255,3,140.5
256,2,308.1
257,2,823.5
258,1,912.1
259,3,320.9
260,3,640.6
261,1,1497.4
262,7,43.1
263,1,1091.8
264,1,217.2
265,1,423.1
266,1,1077.8
267,1,1420.1
268,1,2072.6
269,1,1309.9
270,1,1212.3
271,1,579.3
272,1,637.6
273,1,1150.2
274,2,964
275,4,1354.3
276,3,1179.7
277,4,334.7
278,3,490.4
279,7,30.2
280,2,858.6
281,1,461.7
282,1,1763.3
283,7,321.8
284,2,306.3
285,1,1170.1
286,1,904.2
287,3,1153.9
288,3,372.2
289,1,206.4
290,1,2136
291,1,524.1
292,1,1782
293,1,1211.2
294,1,1330.4
295,1,1976.6
296,3,1587.5
297,1,773.8
298,1,937.3
299,1,1355
300,1,1251.5
301,1,142
302,3,232.2
303,1,586.1
304,1,416.3
305,1,2732
306,2,1240.5
307,1,709.1
308,1,973.4
309,1,2020.1
310,1,2318.3
311,1,1532.3
312,1,1019.6
313,2,1584.5
314,1,441.3
315,1,21.3
316,1,2469.3
317,4,365.9
318,1,699.9
319,3,24.1
320,1,1202
321,1,24.8
322,1,607
323,3,1831.5
324,2,1106.8
325,1,1629
326,1,898.3
327,3,218.2
328,2,289.3
329,2,1682.4
330,1,769.6
331,3,714.6
332,2,1126.4
333,1,807.7
334,1,1889.9
335,1,1644.7
336,1,1018.7
337,3,660.9
338,3,76.1
339,1,589.6
340,1,1293.5
341,1,1485.5
342,1,173.7
343,1,655.3
344,1,144.9
345,1,1363.2
346,2,776.9
347,1,672.6
348,2,103.4
349,3,500
350,2,112.7
351,1,1336.9
