OBJECTID_1 *,Order,Distance
1,6,478.7
2,7,3513.8
3,3,3685.5
4,3,1552.2
5,3,16.1
6,2,974.2
7,2,1613.5
8,2,4266.6
9,2,3974.2
10,3,2850.9
11,2,147.8
12,2,744.3
13,2,33.5
14,2,769.6
15,2,1624
16,3,1370.7
17,3,3028.5
18,3,873.1
19,2,4559.6
20,3,511.4
21,2,2885.4
22,2,2595.1
23,2,535.2
24,2,625.9
25,3,2094.6
26,2,1515.3
27,2,1825.5
28,2,1764.2
29,4,1926.4
30,2,2043.8
31,2,495.7
32,2,747.7
33,2,305.2
34,2,1278.5
35,2,2984.7
36,3,870.5
37,2,535.1
38,3,3133.5
39,3,3522.8
40,3,46.4
41,3,1054.5
42,2,3932.6
43,4,1683.1
44,2,291.8
45,2,2024.5
46,2,153.2
47,4,4065.4
48,4,1135.8
49,4,2456.4
50,2,5932.1
51,2,4318
52,2,786
53,2,348.9
54,3,148.2
55,2,579.8
56,2,4035.8
57,2,678.1
58,2,1032.3
59,3,129.5
60,2,4956.7
61,2,670.9
62,2,3635.5
63,4,2237.8
64,2,1959.4
65,3,398.1
66,2,2388.8
67,2,2222.4
68,2,3266.4
69,2,3848.5
70,2,263.6
71,2,1703.3
72,2,2010.5
73,5,1789.7
74,2,3190.9
75,2,2298
76,2,2130.7
77,5,2048.6
78,3,167.5
79,3,4050.9
80,3,2990.8
81,2,1407.1
82,2,4004.4
83,3,1679.7
84,3,830.2
85,2,2923.6
86,2,1375.4
87,3,1301.4
88,2,2250.4
89,3,1400.7
90,3,2098.1
91,3,127.2
92,3,2016.4
93,2,689.7
94,2,1316.7
95,2,5486.3
96,2,721.8
97,2,837.6
98,2,2342.3
99,3,1210.9
100,2,4302.5
101,4,1568.8
102,2,1224.4
103,2,1367.8
104,2,1654.6
105,3,2019.3
106,2,3132
107,2,5732.2
108,3,2362.7
109,3,187
110,3,2144.9
111,5,1596.9
112,2,2788.3
113,2,942.1
114,2,4122.9
115,5,157.1
116,2,3385.7
117,2,3059.4
118,2,265.2
119,2,3750.1
120,2,383.7
121,2,3405.1
122,2,311.9
123,2,2373.8
124,2,3022.5
125,2,1327.9
126,2,3265
127,2,4723.2
128,2,845.5
129,2,3140.8
130,3,672.7
131,5,1322.9
132,3,1221.6
133,3,535.2
134,2,2574.3
135,2,40.2
136,2,2035
137,2,3722.1
138,2,1187.2
139,2,413.3
140,2,4357.6
141,2,387.5
142,2,132.4
143,4,2118.5
144,3,370.4
145,2,2826.7
146,2,4494.3
147,2,2428.5
148,3,5513.9
149,2,383.2
150,2,2948.6
151,2,1950.4
152,2,36.6
153,5,3978.6
154,3,1345.8
155,3,422.8
156,4,1252.6
157,4,480
158,2,1202.7
159,2,1077.6
160,4,143.6
161,5,2088.3
162,3,293.8
163,6,152.6
164,2,343.7
165,2,5065.7
166,3,1360.6
167,2,1139.7
168,2,1346.7
169,2,2094.3
170,2,4268.1
171,2,350.4
172,2,3223.2
173,2,2473.3
174,2,1814.7
175,3,3341.4
176,4,1541.8
177,4,890.1
178,2,3002
179,2,249.3
180,2,2984.2
181,4,1637.7
182,2,1230.3
183,2,4471.7
184,3,2224.4
185,2,1344.9
186,2,197.9
187,2,1097.4
188,2,2362.5
189,2,3223.7
190,4,1109.8
191,2,1464.5
192,2,2945.7
193,3,1554.6
194,3,2678.9
195,3,1190.5
196,2,5192.2
197,2,1041.7
198,2,1431.7
199,3,177.1
200,4,1369.2
201,2,931.3
202,5,445.2
203,2,2062.6
204,2,588.2
205,2,6594.2
