OBJECTID *,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,2,1554.589099,0.513758,1.089742,0.575985,0.80175,0.287992,1.6035
2,2,1554.589099,6.521021,8.799231,2.278209,7.660126,1.139105,15.320252
3,2,1554.589099,1.851784,2.208719,0.356936,2.030252,0.178468,4.060503
4,2,1554.589099,4.72599,7.916826,3.190836,6.321408,1.595418,12.642817
5,2,1554.589099,2.9264,3.122055,0.195655,3.024227,0.097828,6.048455
6,2,1554.589099,4.006141,6.024074,2.017933,5.015107,1.008967,10.030215
7,2,1554.589099,2.9264,3.442335,0.515935,3.184367,0.257968,6.368735
8,2,1554.589099,9.818662,10.029444,0.210782,9.924053,0.105391,19.848105
9,2,1554.589099,2.54137,2.617907,0.076536,2.579638,0.038268,5.159277
10,2,1554.589099,5.804065,7.100957,1.296892,6.452511,0.648446,12.905023
11,2,1554.589099,0.726543,2.296425,1.569881,1.511484,0.784941,3.022968
12,2,1554.589099,1.027432,2.054204,1.026772,1.540818,0.513386,3.081637
13,2,1554.589099,6.318864,12.332893,6.01403,9.325879,3.007015,18.651757
14,1,777.294549,3.787345,3.787345,0,3.787345,0,3.787345
15,2,1554.589099,4.585495,4.929098,0.343603,4.757297,0.171802,9.514593
16,2,1554.589099,0.812289,1.452853,0.640564,1.132571,0.320282,2.265143
17,2,1554.589099,0.812289,1.148674,0.336384,0.980481,0.168192,1.960963
18,1,777.294549,1.851784,1.851784,0,1.851784,0,1.851784
19,1,777.294549,5.187318,5.187318,0,5.187318,0,5.187318
20,1,777.294549,1.540942,1.540942,0,1.540942,0,1.540942
21,2,1554.589099,9.388534,12.236951,2.848417,10.812742,1.424209,21.625484
22,2,1554.589099,9.688502,12.109407,2.420905,10.898955,1.210453,21.79791
23,2,1554.589099,8.013705,14.10288,6.089175,11.058293,3.044588,22.116586
24,1,777.294549,2.117369,2.117369,0,2.117369,0,2.117369
25,1,777.294549,8.304935,8.304935,0,8.304935,0,8.304935
26,1,777.294549,3.345572,3.345572,0,3.345572,0,3.345572
27,1,777.294549,10.073543,10.073543,0,10.073543,0,10.073543
28,1,777.294549,10.216987,10.216987,0,10.216987,0,10.216987
29,1,777.294549,38.759575,38.759575,0,38.759575,0,38.759575
30,1,777.294549,5.085637,5.085637,0,5.085637,0,5.085637
31,1,777.294549,5.124009,5.124009,0,5.124009,0,5.124009
32,1,777.294549,5.384801,5.384801,0,5.384801,0,5.384801
33,2,1554.589099,8.389462,10.167342,1.777881,9.278402,0.88894,18.556804
34,2,1554.589099,2.567137,2.617907,0.050769,2.592522,0.025385,5.185044
35,2,1554.589099,3.787345,4.585495,0.79815,4.18642,0.399075,8.37284
36,2,1554.589099,1.309637,2.764596,1.454959,2.037116,0.727479,4.074232
37,1,777.294549,2.54137,2.54137,0,2.54137,0,2.54137
38,2,1554.589099,5.384801,6.162749,0.777948,5.773775,0.388974,11.54755
39,2,1554.589099,9.035639,15.820009,6.78437,12.427824,3.392185,24.855648
40,1,777.294549,5.224928,5.224928,0,5.224928,0,5.224928
41,1,777.294549,6.649018,6.649018,0,6.649018,0,6.649018
42,2,1554.589099,5.187318,6.755362,1.568043,5.97134,0.784022,11.94268
43,2,1554.589099,3.345572,4.244433,0.898861,3.795002,0.449431,7.590004
44,2,1554.589099,7.262909,12.2926,5.029691,9.777754,2.514845,19.555509
45,2,1554.589099,6.318864,7.447215,1.128351,6.883039,0.564176,13.766079
46,2,1554.589099,22.213528,24.870558,2.65703,23.542043,1.328515,47.084085
47,2,1554.589099,11.431379,12.723094,1.291715,12.077237,0.645857,24.154473
48,1,777.294549,9.997816,9.997816,0,9.997816,0,9.997816
49,2,1554.589099,25.933159,30.41642,4.483261,28.174789,2.241631,56.349579
50,2,1554.589099,1.624252,1.851784,0.227532,1.738018,0.113766,3.476036
51,1,777.294549,3.9067,3.9067,0,3.9067,0,3.9067
52,1,777.294549,1.955623,1.955623,0,1.955623,0,1.955623
53,2,1554.589099,2.9264,3.628055,0.701655,3.277227,0.350828,6.554455
54,1,777.294549,1.309637,1.309637,0,1.309637,0,1.309637
55,1,777.294549,1.089742,1.089742,0,1.089742,0,1.089742
56,2,1554.589099,9.87663,17.027704,7.151074,13.452167,3.575537,26.904334
57,1,777.294549,7.884255,7.884255,0,7.884255,0,7.884255
58,2,1554.589099,11.669404,12.752178,1.082774,12.210791,0.541387,24.421582
59,1,777.294549,1.027432,1.027432,0,1.027432,0,1.027432
60,2,1554.589099,8.419976,9.028571,0.608595,8.724274,0.304297,17.448547
61,1,777.294549,1.540942,1.540942,0,1.540942,0,1.540942
62,2,1554.589099,7.54188,8.227297,0.685417,7.884588,0.342709,15.769176
63,2,1554.589099,4.929098,12.317801,7.388702,8.623449,3.694351,17.246899
64,2,1554.589099,12.032153,16.598104,4.565951,14.315129,2.282976,28.630258
65,2,1554.589099,26.706091,31.674532,4.968441,29.190311,2.484221,58.380623
66,1,777.294549,19.577461,19.577461,0,19.577461,0,19.577461
67,1,777.294549,1.815848,1.815848,0,1.815848,0,1.815848
68,1,777.294549,7.652177,7.652177,0,7.652177,0,7.652177
69,1,777.294549,2.54137,2.54137,0,2.54137,0,2.54137
70,2,1554.589099,31.364738,31.614937,0.250198,31.489838,0.125099,62.979675
71,2,1554.589099,4.410893,4.712132,0.301239,4.561513,0.15062,9.123025
72,1,777.294549,15.313594,15.313594,0,15.313594,0,15.313594
73,2,1554.589099,1.309637,1.497547,0.18791,1.403592,0.093955,2.807184
74,2,1554.589099,10.770066,10.938088,0.168022,10.854077,0.084011,21.708155
75,2,1554.589099,1.815848,2.324922,0.509074,2.070385,0.254537,4.140769
76,1,777.294549,6.907014,6.907014,0,6.907014,0,6.907014
77,1,777.294549,4.712132,4.712132,0,4.712132,0,4.712132
78,2,1554.589099,2.054204,2.764596,0.710391,2.4094,0.355196,4.8188
79,2,1554.589099,12.150385,12.170815,0.020431,12.1606,0.010215,24.3212
80,2,1554.589099,5.149428,6.318864,1.169436,5.734146,0.584718,11.468292
81,2,1554.589099,2.324922,4.134963,1.810041,3.229942,0.905021,6.459885
82,2,1554.589099,23.30587,23.822803,0.516933,23.564337,0.258467,47.128674
83,2,1554.589099,10.915081,12.332893,1.417812,11.623987,0.708906,23.247974
84,2,1554.589099,5.52818,7.447215,1.919035,6.487698,0.959517,12.975395
85,1,777.294549,19.873472,19.873472,0,19.873472,0,19.873472
86,1,777.294549,5.621686,5.621686,0,5.621686,0,5.621686
87,2,1554.589099,4.410893,4.484484,0.073591,4.447688,0.036795,8.895377
88,2,1554.589099,5.187318,5.667846,0.480527,5.427582,0.240264,10.855164
89,2,1554.589099,12.591271,17.201942,4.610671,14.896607,2.305336,29.793214
90,2,1554.589099,1.497547,2.324922,0.827375,1.911234,0.413687,3.822468
91,2,1554.589099,9.688502,9.688502,0,9.688502,0,19.377005
92,2,1554.589099,7.018521,8.726245,1.707724,7.872383,0.853862,15.744766
93,2,1554.589099,2.642924,2.764596,0.121672,2.70376,0.060836,5.407519
94,2,1554.589099,1.955623,7.271796,5.316173,4.61371,2.658087,9.227419
95,2,1554.589099,4.366134,8.450375,4.084241,6.408254,2.04212,12.816508
96,2,1554.589099,2.99305,3.591687,0.598637,3.292369,0.299318,6.584737
97,2,1554.589099,1.815848,2.117369,0.301521,1.966608,0.150761,3.933217
98,1,777.294549,6.521021,6.521021,0,6.521021,0,6.521021
99,2,1554.589099,3.423203,6.194297,2.771094,4.80875,1.385547,9.6175
100,2,1554.589099,11.43685,11.749326,0.312476,11.593088,0.156238,23.186175
101,2,1554.589099,14.337764,17.514114,3.176351,15.925939,1.588175,31.851878
102,1,777.294549,7.447215,7.447215,0,7.447215,0,7.447215
103,1,777.294549,5.83761,5.83761,0,5.83761,0,5.83761
104,2,1554.589099,2.764596,3.699707,0.935111,3.232151,0.467556,6.464302
105,1,777.294549,1.452853,1.452853,0,1.452853,0,1.452853
106,2,1554.589099,5.274648,8.835484,3.560836,7.055066,1.780418,14.110131
107,2,1554.589099,4.72599,15.076641,10.350651,9.901316,5.175325,19.802631
108,2,1554.589099,1.851784,3.699707,1.847923,2.775745,0.923962,5.551491
109,1,777.294549,3.345572,3.345572,0,3.345572,0,3.345572
110,2,1554.589099,5.187318,6.521021,1.333703,5.85417,0.666852,11.70834
111,2,1554.589099,9.293088,10.938088,1.645,10.115588,0.8225,20.231176
112,2,1554.589099,3.699707,6.755362,3.055655,5.227534,1.527827,10.455068
113,2,1554.589099,1.540942,3.122055,1.581113,2.331499,0.790556,4.662997
114,2,1554.589099,3.856006,3.856006,0,3.856006,0,7.712012
115,1,777.294549,1.497547,1.497547,0,1.497547,0,1.497547
116,2,1554.589099,3.735012,4.381105,0.646094,4.058059,0.323047,8.116117
117,2,1554.589099,0.726543,1.624252,0.897709,1.175398,0.448854,2.350796
118,2,1554.589099,16.336525,17.430885,1.09436,16.883705,0.54718,33.76741
119,2,1554.589099,11.453244,27.5791,16.125855,19.516172,8.062928,39.032344
120,1,777.294549,2.435563,2.435563,0,2.435563,0,2.435563
121,2,1554.589099,18.578169,19.805683,1.227514,19.191926,0.613757,38.383852
122,1,777.294549,0.812289,0.812289,0,0.812289,0,0.812289
123,1,777.294549,12.591271,12.591271,0,12.591271,0,12.591271
124,2,1554.589099,9.388534,14.980608,5.592074,12.184571,2.796037,24.369142
125,1,777.294549,3.646101,3.646101,0,3.646101,0,3.646101
126,1,777.294549,8.777403,8.777403,0,8.777403,0,8.777403
127,2,1554.589099,22.557791,25.74629,3.188499,24.15204,1.59425,48.304081
128,2,1554.589099,9.035639,14.081301,5.045662,11.55847,2.522831,23.11694
129,2,1554.589099,0.363286,3.856006,3.49272,2.109646,1.74636,4.219292
130,2,1554.589099,1.452853,5.085637,3.632783,3.269245,1.816392,6.53849
131,2,1554.589099,17.629805,21.764759,4.134954,19.697282,2.067477,39.394564
132,2,1554.589099,2.178696,3.345572,1.166875,2.762134,0.583438,5.524268
133,1,777.294549,18.822395,18.822395,0,18.822395,0,18.822395
134,2,1554.589099,7.810448,8.900342,1.089894,8.355395,0.544947,16.71079
135,1,777.294549,6.152196,6.152196,0,6.152196,0,6.152196
136,1,777.294549,3.286134,3.286134,0,3.286134,0,3.286134
137,1,777.294549,8.718911,8.718911,0,8.718911,0,8.718911
138,2,1554.589099,8.242886,13.456147,5.213262,10.849516,2.606631,21.699033
139,2,1554.589099,4.410893,4.712132,0.301239,4.561513,0.15062,9.123025
140,2,1554.589099,1.624252,3.442335,1.818083,2.533294,0.909041,5.066587
141,2,1554.589099,2.617907,4.875779,2.257872,3.746843,1.128936,7.493685
142,2,1554.589099,3.735012,5.124009,1.388997,4.42951,0.694498,8.85902
143,1,777.294549,0.812289,0.812289,0,0.812289,0,0.812289
144,2,1554.589099,17.27305,20.881498,3.608448,19.077274,1.804224,38.154549
145,2,1554.589099,12.752178,15.167994,2.415816,13.960086,1.207908,27.920173
146,1,777.294549,0.726543,0.726543,0,0.726543,0,0.726543
147,2,1554.589099,1.815848,1.815848,0,1.815848,0,3.631695
148,1,777.294549,11.605026,11.605026,0,11.605026,0,11.605026
149,2,1554.589099,11.232467,12.862978,1.630511,12.047722,0.815256,24.095445
150,2,1554.589099,15.064677,16.847738,1.783061,15.956208,0.891531,31.912416
151,1,777.294549,6.194297,6.194297,0,6.194297,0,6.194297
152,2,1554.589099,5.124009,7.155366,2.031357,6.139687,1.015679,12.279375
153,2,1554.589099,1.624252,4.585495,2.961243,3.104874,1.480621,6.209747
154,2,1554.589099,0.812289,1.851784,1.039494,1.332037,0.519747,2.664073
155,2,1554.589099,10.092378,13.244807,3.15243,11.668592,1.576215,23.337185
156,2,1554.589099,1.851784,2.835079,0.983295,2.343431,0.491647,4.686862
157,2,1554.589099,31.872089,32.296738,0.424648,32.084414,0.212324,64.168827
158,1,777.294549,7.618418,7.618418,0,7.618418,0,7.618418
159,2,1554.589099,5.124009,7.307232,2.183223,6.21562,1.091612,12.431241
160,1,777.294549,3.245898,3.245898,0,3.245898,0,3.245898
161,2,1554.589099,3.122055,4.054935,0.93288,3.588495,0.46644,7.17699
162,2,1554.589099,3.923451,4.366134,0.442683,4.144792,0.221341,8.289584
163,1,777.294549,14.384203,14.384203,0,14.384203,0,14.384203
164,2,1554.589099,15.906266,16.029045,0.122779,15.967656,0.061389,31.935311
165,2,1554.589099,17.698761,18.624277,0.925516,18.161519,0.462758,36.323038
166,1,777.294549,6.649018,6.649018,0,6.649018,0,6.649018
167,2,1554.589099,3.10093,4.929098,1.828168,4.015014,0.914084,8.030028
168,1,777.294549,1.851784,1.851784,0,1.851784,0,1.851784
169,2,1554.589099,4.366134,4.410893,0.044759,4.388513,0.02238,8.777027
170,1,777.294549,10.79924,10.79924,0,10.79924,0,10.79924
171,2,1554.589099,2.642924,4.366134,1.72321,3.504529,0.861605,7.009057
172,2,1554.589099,0.812289,1.148674,0.336384,0.980481,0.168192,1.960963
173,2,1554.589099,1.851784,1.851784,0,1.851784,0,3.703568
174,2,1554.589099,11.12026,13.221602,2.101342,12.170931,1.050671,24.341863
175,2,1554.589099,8.71157,8.71157,0,8.71157,0,17.42314
176,2,1554.589099,1.624252,1.815848,0.191595,1.72005,0.095798,3.4401
177,2,1554.589099,3.423203,6.869427,3.446224,5.146315,1.723112,10.29263
178,2,1554.589099,5.991602,6.521021,0.529419,6.256312,0.264709,12.512624
179,2,1554.589099,2.117369,2.296425,0.179056,2.206897,0.089528,4.413794
180,1,777.294549,3.735012,3.735012,0,3.735012,0,3.735012
181,2,1554.589099,12.413041,18.000137,5.587096,15.206589,2.793548,30.413178
182,2,1554.589099,18.099182,19.130896,1.031713,18.615039,0.515857,37.230078
183,2,1554.589099,16.263958,16.274868,0.01091,16.269413,0.005455,32.538826
184,1,777.294549,0.513758,0.513758,0,0.513758,0,0.513758
185,1,777.294549,2.567137,2.567137,0,2.567137,0,2.567137
186,2,1554.589099,4.72599,5.224928,0.498938,4.975459,0.249469,9.950918
187,1,777.294549,5.991602,5.991602,0,5.991602,0,5.991602
188,1,777.294549,5.633262,5.633262,0,5.633262,0,5.633262
189,2,1554.589099,0.513758,2.054204,1.540447,1.283981,0.770223,2.567962
190,1,777.294549,23.55867,23.55867,0,23.55867,0,23.55867
191,2,1554.589099,1.309637,3.079659,1.770022,2.194648,0.885011,4.389295
192,2,1554.589099,2.764596,4.862356,2.097761,3.813476,1.04888,7.626952
193,1,777.294549,3.856006,3.856006,0,3.856006,0,3.856006
194,1,777.294549,11.12026,11.12026,0,11.12026,0,11.12026
195,2,1554.589099,6.668484,7.652177,0.983694,7.160331,0.491847,14.320661
196,2,1554.589099,2.764596,2.9264,0.161804,2.845498,0.080902,5.690995
197,2,1554.589099,3.079659,4.712132,1.632474,3.895895,0.816237,7.791791
198,1,777.294549,4.425711,4.425711,0,4.425711,0,4.425711
199,2,1554.589099,0.513758,1.027432,0.513675,0.770595,0.256837,1.54119
200,1,777.294549,15.286175,15.286175,0,15.286175,0,15.286175
201,1,777.294549,15.379939,15.379939,0,15.379939,0,15.379939
202,1,777.294549,1.027432,1.027432,0,1.027432,0,1.027432
203,1,777.294549,6.318864,6.318864,0,6.318864,0,6.318864
204,1,777.294549,23.433891,23.433891,0,23.433891,0,23.433891
