OBJECTID,SITE,ORDEM,DISTANCE..M.
1,Abrigo 1 de Vale Covões,1,767
2,Arneiro Cortiço,4,657
3,Azinhal,2,914
4,Barrosos,2,712
5,Buraca Escura,2,67
6,Buraca Grande,2,39
7,Cobrinhos,1,823
8,Conceição,1,735
9,Curva do Belixe,1,3310
10,Estrada do Prado,4,190
11,Foz do Enxarrique,1,58
12,Furninha,2,3945
13,Galerias Pesadas,1,6
14,Gruta da Companheira,2,150
15,Gruta da Figueira Brava,1,2748
16,Gruta da Oliveira,1,101
17,Gruta do Caldeirão,4,283
18,Gruta do Correio-Mor,1,597
19,Gruta do Escoural,1,2379
20,Gruta do Ourão,1,389
21,Gruta Nova da Columbeira,1,6
22,Ibn-Amar,1,677
23,Lagoa do Bando,1,1742
24,Lagoa do Bordoal,1,1694
25,Lagoa Funda 1,1,3734
26,Lagoa Funda 2,1,2787
27,Lapa do Picareiro,1,1785
28,Lapa dos Furos,1,12
29,Mina do Paço,1,1211
30,Mira Nascente,1,420
31,Moinhos 1,2,852
32,Moinhos 2,1,1412
33,Monte Penedo 1,1,159
34,Pedrógão,4,3666
35,Pêgo do Diabo,2,348
36,Pegos do Tejo 2,6,870
37,Porto Meirinho,7,314
38,Praia da Galé,1,431
39,Praia do Rei Cortiço,3,1180
40,Quinta da Rosa,3,411
41,Ribeira da Atalaia,2,187
42,Ribeira de Cacela,1,30
43,Salemas,1,293
44,Salto do Boi,5,101
45,Santa Cita,3,259
46,Santo Antão do Tojal,1,668
47,Sapateiros 2,7,952
48,Tapada do Montinho,1,720
49,Vale da Porta,1,739
50,Vale do Forno 8,1,134
51,Vale do Pardo I,1,3432
52,Vale Santo,1,865
53,Vilas Ruivas,6,378
54,Vinhas,7,578
