OBJECTID *;SITE;ZONE_CODE;COUNT;AREA;MIN;MAX;RANGE;MEAN;STD;SUM;VARIETY;MAJORITY;MINORITY;MEDIAN
1;Abrigo 1 de Vale Covões;1;2;1554.589099;285;296;11;290.5;5.5;581;2;285;285;285
2;Arneiro Cortiço;2;2;1554.589099;18;18;0;18;0;36;1;18;18;18
3;Azinhal;3;2;1554.589099;144;147;3;145.5;1.5;291;2;144;144;144
4;Barrosos;4;2;1554.589099;49;50;1;49.5;0.5;99;2;49;49;49
5;Buraca Escura;5;1;777.294549;194;194;0;194;0;194;1;194;194;194
6;Buraca Grande;6;1;777.294549;217;217;0;217;0;217;1;217;217;217
7;Cobrinhos;7;1;777.294549;112;112;0;112;0;112;1;112;112;112
8;Conceição;8;2;1554.589099;9;9;0;9;0;18;1;9;9;9
9;Curva do Belixe;9;1;777.294549;59;59;0;59;0;59;1;59;59;59
10;Estrada do Prado;10;2;1554.589099;81;82;1;81.5;0.5;163;2;81;81;81
11;Foz do Enxarrique;11;1;777.294549;78;78;0;78;0;78;1;78;78;78
12;Furninha;12;2;1554.589099;29;29;0;29;0;58;1;29;29;29
13;Galerias Pesadas;13;2;1554.589099;125;135;10;130;5;260;2;125;125;125
14;Gruta da Companheira;14;2;1554.589099;15;20;5;17.5;2.5;35;2;15;15;15
15;Gruta da Figueira Brava;15;2;1554.589099;51;58;7;54.5;3.5;109;2;51;51;51
16;Gruta da Oliveira;16;1;777.294549;146;146;0;146;0;146;1;146;146;146
17;Gruta do Caldeirão;17;1;777.294549;116;116;0;116;0;116;1;116;116;116
18;Gruta do Correio-Mor;18;2;1554.589099;79;82;3;80.5;1.5;161;2;79;79;79
19;Gruta do Escoural;19;2;1554.589099;354;355;1;354.5;0.5;709;2;354;354;354
20;Gruta do Ourão;20;1;777.294549;58;58;0;58;0;58;1;58;58;58
21;Gruta Nova da Columbeira;21;1;777.294549;74;74;0;74;0;74;1;74;74;74
22;Ibn-Amar;22;1;777.294549;30;30;0;30;0;30;1;30;30;30
23;Lagoa do Bando;23;2;1554.589099;487;492;5;489.5;2.5;979;2;487;487;487
24;Lagoa do Bordoal;24;2;1554.589099;135;136;1;135.5;0.5;271;2;135;135;135
25;Lagoa Funda 1;25;2;1554.589099;131;132;1;131.5;0.5;263;2;131;131;131
26;Lagoa Funda 2;26;2;1554.589099;139;139;0;139;0;278;1;139;139;139
27;Lapa do Picareiro;27;1;777.294549;512;512;0;512;0;512;1;512;512;512
28;Lapa dos Furos;28;2;1554.589099;97;102;5;99.5;2.5;199;2;97;97;97
29;Mina do Paço;29;2;1554.589099;137;140;3;138.5;1.5;277;2;137;137;137
30;Mira Nascente;30;2;1554.589099;54;55;1;54.5;0.5;109;2;54;54;54
31;Moinhos 1;31;2;1554.589099;122;124;2;123;1;246;2;122;122;122
32;Moinhos 2;32;1;777.294549;118;118;0;118;0;118;1;118;118;118
33;Monte Penedo 1;33;2;1554.589099;90;91;1;90.5;0.5;181;2;90;90;90
34;Pedrógão;34;2;1554.589099;30;32;2;31;1;62;2;30;30;30
35;Pêgo do Diabo;35;1;777.294549;230;230;0;230;0;230;1;230;230;230
36;Pegos do Tejo 2;36;2;1554.589099;134;135;1;134.5;0.5;269;2;134;134;134
37;Porto Meirinho;37;2;1554.589099;102;102;0;102;0;204;1;102;102;102
38;Praia da Galé;38;2;1554.589099;10;12;2;11;1;22;2;10;10;10
39;Praia do Rei Cortiço;39;2;1554.589099;15;21;6;18;3;36;2;15;15;15
40;Quinta da Rosa;40;2;1554.589099;60;60;0;60;0;120;1;60;60;60
41;Ribeira da Atalaia;41;2;1554.589099;35;35;0;35;0;70;1;35;35;35
42;Ribeira de Cacela;42;2;1554.589099;14;15;1;14.5;0.5;29;2;14;14;14
43;Salemas;43;2;1554.589099;233;237;4;235;2;470;2;233;233;233
44;Salto do Boi;44;1;777.294549;156;156;0;156;0;156;1;156;156;156
45;Santa Cita;45;1;777.294549;45;45;0;45;0;45;1;45;45;45
46;Santo Antão do Tojal;46;2;1554.589099;41;42;1;41.5;0.5;83;2;41;41;41
47;Sapateiros 2;47;2;1554.589099;120;121;1;120.5;0.5;241;2;120;120;120
48;Tapada do Montinho;48;1;777.294549;111;111;0;111;0;111;1;111;111;111
49;Vale da Porta;49;2;1554.589099;99;101;2;100;1;200;2;99;99;99
50;Vale do Forno 8;50;2;1554.589099;32;32;0;32;0;64;1;32;32;32
51;Vale do Pardo I;51;2;1554.589099;64;68;4;66;2;132;2;64;64;64
52;Vale Santo;52;1;777.294549;54;54;0;54;0;54;1;54;54;54
53;Vilas Ruivas;53;2;1554.589099;116;118;2;117;1;234;2;116;116;116
54;Vinhas;54;2;1554.589099;112;115;3;113.5;1.5;227;2;112;112;112
