OBJECTID *;SITE;ZONE_CODE;COUNT;AREA;MIN;MAX;RANGE;MEAN;STD;SUM
1;Abrigo 1 de Vale Covões;1;2;1554.589099;213.366364;232.253189;18.886826;222.809776;9.443413;445.619553
2;Arneiro Cortiço;2;2;1554.589099;251.565048;356.185913;104.620865;303.875481;52.310432;607.750961
3;Azinhal;3;2;1554.589099;278.972626;295.016907;16.044281;286.994766;8.022141;573.989532
4;Barrosos;4;2;1554.589099;29.054604;56.309933;27.255329;42.682268;13.627665;85.364536
5;Buraca Escura;5;1;777.294549;357.424408;357.424408;0;357.424408;0;357.424408
6;Buraca Grande;6;1;777.294549;194.743561;194.743561;0;194.743561;0;194.743561
7;Cobrinhos;7;1;777.294549;180;180;0;180;0;180
8;Conceição;8;2;1554.589099;18.434948;75.963753;57.528805;47.19935;28.764402;94.398701
9;Curva do Belixe;9;1;777.294549;0;0;0;0;0;0
10;Estrada do Prado;10;2;1554.589099;97.65065;101.592178;3.941528;99.621414;1.970764;199.242828
11;Foz do Enxarrique;11;1;777.294549;9.462321;9.462321;0;9.462321;0;9.462321
12;Furninha;12;1;777.294549;78.690071;78.690071;0;78.690071;0;78.690071
13;Galerias Pesadas;13;2;1554.589099;141.809052;146.560135;4.751083;144.184593;2.375542;288.369186
14;Gruta da Companheira;14;2;1554.589099;318.576324;347.471191;28.894867;333.023758;14.447433;666.047516
15;Gruta da Figueira Brava;15;2;1554.589099;131.7603;138.416595;6.656296;135.088448;3.328148;270.176895
16;Gruta da Oliveira;16;1;777.294549;99.246117;99.246117;0;99.246117;0;99.246117
17;Gruta do Caldeirão;17;1;777.294549;353.157227;353.157227;0;353.157227;0;353.157227
18;Gruta do Correio-Mor;18;2;1554.589099;13.392497;45;31.607503;29.196249;15.803751;58.392497
19;Gruta do Escoural;19;2;1554.589099;66.801407;315;248.198593;190.900703;124.099297;381.801407
20;Gruta do Ourão;20;1;777.294549;246.801407;246.801407;0;246.801407;0;246.801407
21;Gruta Nova da Columbeira;21;1;777.294549;47.862404;47.862404;0;47.862404;0;47.862404
22;Ibn-Amar;22;1;777.294549;60.255119;60.255119;0;60.255119;0;60.255119
23;Lagoa do Bando;23;2;1554.589099;327.094757;330.42215;3.327393;328.758453;1.663696;657.516907
24;Lagoa do Bordoal;24;2;1554.589099;135;135;0;135;0;270
25;Lagoa Funda 1;25;2;1554.589099;15.255118;21.801409;6.54629;18.528264;3.273145;37.056527
26;Lagoa Funda 2;26;2;1554.589099;45;257.005371;212.005371;151.002686;106.002686;302.005371
27;Lapa do Picareiro;27;1;777.294549;278.44754;278.44754;0;278.44754;0;278.44754
28;Lapa dos Furos;28;2;1554.589099;208.495636;226.636581;18.140945;217.566109;9.070473;435.132217
29;Mina do Paço;29;2;1554.589099;212.471191;220.601303;8.130112;216.536247;4.065056;433.072495
30;Mira Nascente;30;2;1554.589099;279.462311;291.501434;12.039124;285.481873;6.019562;570.963745
31;Moinhos 1;31;2;1554.589099;295.016907;306.869904;11.852997;300.943405;5.926498;601.88681
32;Moinhos 2;32;1;777.294549;56.309933;56.309933;0;56.309933;0;56.309933
33;Monte Penedo 1;33;2;1554.589099;143.972626;157.380142;13.407516;150.676384;6.703758;301.352768
34;Pedrógão;34;1;777.294549;254.054611;254.054611;0;254.054611;0;254.054611
35;Pêgo do Diabo;35;1;777.294549;339.102234;339.102234;0;339.102234;0;339.102234
36;Pegos do Tejo 2;36;2;1554.589099;260.134186;270;9.865814;265.067093;4.932907;530.134186
37;Porto Meirinho;37;2;1554.589099;141.58194;197.241455;55.659515;169.411697;27.829758;338.823395
38;Praia da Galé;38;1;777.294549;324.057892;324.057892;0;324.057892;0;324.057892
39;Praia do Rei Cortiço;39;1;777.294549;347.71167;347.71167;0;347.71167;0;347.71167
40;Quinta da Rosa;40;2;1554.589099;18.434948;281.309937;262.874989;149.872442;131.437494;299.744884
41;Ribeira da Atalaia;41;2;1554.589099;270;278.392914;8.392914;274.196457;4.196457;548.392914
42;Ribeira de Cacela;42;1;777.294549;209.475891;209.475891;0;209.475891;0;209.475891
43;Salemas;43;2;1554.589099;322.125031;327.264771;5.13974;324.694901;2.56987;649.389801
44;Salto do Boi;44;1;777.294549;225;225;0;225;0;225
45;Santa Cita;45;1;777.294549;113.198593;113.198593;0;113.198593;0;113.198593
46;Santo Antão do Tojal;46;2;1554.589099;176.42366;183.814072;7.390411;180.118866;3.695206;360.237732
47;Sapateiros 2;47;2;1554.589099;126.869896;149.03624;22.166344;137.953068;11.083172;275.906136
48;Tapada do Montinho;48;1;777.294549;204.443954;204.443954;0;204.443954;0;204.443954
49;Vale da Porta;49;2;1554.589099;333.434937;338.962494;5.527557;336.198715;2.763779;672.39743
50;Vale do Forno 8;50;2;1554.589099;281.821472;301.759491;19.938019;291.790482;9.969009;583.580963
51;Vale do Pardo I;51;1;777.294549;277.001251;277.001251;0;277.001251;0;277.001251
52;Vale Santo;52;1;777.294549;330.945404;330.945404;0;330.945404;0;330.945404
53;Vilas Ruivas;53;2;1554.589099;188.130096;194.03624;5.906143;191.083168;2.953072;382.166336
54;Vinhas;54;2;1554.589099;112.380135;135;22.619865;123.690067;11.309933;247.380135
