ID,SITE,TYPE_,Dominant Raw Material,CODLITO,COMP_LIT,PER_GEOL,DESIGNA,Background
1,Abrigo 1 de Vale Covões,Cave,NA,14,FORM. SEDIMENTARES,JURÁSSICO,"Calcários, calcários dolomíticos, calcários margosos, margas",Carbonate
2,Arneiro Cortiço,Open air,Quartzite,4,FORM. SEDIMENTARES,PLISTOCÉNICO,Areias e cascalheiras,Other
3,Azinhal,Open air,Quartzite,25,FORM. SEDIMENTARES E METAMÓRFICAS,DO CÂMBRICO AO PRÉ-CÂMBRICO,"Xistos, grauvaques (Complexo xisto-grauváquico)",Other
4,Barrosos,Open air,Mix,8,FORM. SEDIMENTARES,MIO-PLISTOCÉNICO,"Arenitos, calcários mais ou menos margosos, areias, cascalheiras, argilas",Carbonate
5,Buraca Escura,Cave,Mix,14,FORM. SEDIMENTARES,JURÁSSICO,"Calcários, calcários dolomíticos, calcários margosos, margas",Carbonate
6,Buraca Grande,Cave,NA,14,FORM. SEDIMENTARES,JURÁSSICO,"Calcários, calcários dolomíticos, calcários margosos, margas",Carbonate
7,Cobrinhos,Open air,Quartzite,9,FORM. SEDIMENTARES,PALEOGÉNICO-MIOCÉNICO,"Cascalheiras de planalto, arcoses da Beira Baixa, arenitos, calcários",Carbonate
8,Conceição,Open air,Quartzite,2,FORM. SEDIMENTARES,HOLOCÉNICO,Dunas e areias eólicas,Other
9,Curva do Belixe,Open air,Chert,14,FORM. SEDIMENTARES,JURÁSSICO,"Calcários, calcários dolomíticos, calcários margosos, margas",Carbonate
10,Estrada do Prado,Open air,Mix,8,FORM. SEDIMENTARES,MIO-PLISTOCÉNICO,"Arenitos, calcários mais ou menos margosos, areias, cascalheiras, argilas",Carbonate
11,Foz do Enxarrique,Open air,Quartzite,25,FORM. SEDIMENTARES E METAMÓRFICAS,DO CÂMBRICO AO PRÉ-CÂMBRICO,"Xistos, grauvaques (Complexo xisto-grauváquico)",Other
12,Furninha,Cave,Chert,14,FORM. SEDIMENTARES,JURÁSSICO,"Calcários, calcários dolomíticos, calcários margosos, margas",Carbonate
13,Galerias Pesadas,Cave,Mix,14,FORM. SEDIMENTARES,JURÁSSICO,"Calcários, calcários dolomíticos, calcários margosos, margas",Carbonate
14,Gruta da Companheira,Cave,Mix,14,FORM. SEDIMENTARES,JURÁSSICO,"Calcários, calcários dolomíticos, calcários margosos, margas",Carbonate
15,Gruta da Figueira Brava,Cave,Quartz,13,FORM. SEDIMENTARES,JURÁSSICO,"Conglomerados, arenitos, calcários, calcários dolomíticos, calcários margosos, margas",Carbonate
16,Gruta da Oliveira,Cave,Mix,14,FORM. SEDIMENTARES,JURÁSSICO,"Calcários, calcários dolomíticos, calcários margosos, margas",Carbonate
17,Gruta do Caldeirão,Cave,Mix,14,FORM. SEDIMENTARES,JURÁSSICO,"Calcários, calcários dolomíticos, calcários margosos, margas",Carbonate
18,Gruta do Correio-Mor,Cave,NA,12,FORM. SEDIMENTARES,PALEOGÉNICO,"Arenitos, conglomerados, calcários, calcários dolomíticos, calcários margosos, margas",Carbonate
19,Gruta do Escoural,Cave,Quartz,22,FORM. SEDIMENTARES E METAMÓRFICAS,SILÚRICO E ORDOVÍCICO,"Xistos, grauvaques",Other
