OBJECTID;SITE;ORDEM;DISTANCE (M)
1;Abrigo 1 de Vale Covões;2;3542
2;Arneiro Cortiço;4;657
3;Azinhal;2;914
4;Barrosos;2;712
5;Buraca Escura;2;67
6;Buraca Grande;2;39
7;Cobrinhos;2;1262
8;Conceição;2;3565
9;Curva do Belixe;2;8959
10;Estrada do Prado;4;190
11;Foz do Enxarrique;6;136
12;Furninha;2;3945
13;Galerias Pesadas;2;1176
14;Gruta da Companheira;2;150
15;Gruta da Figueira Brava;2;5122
16;Gruta da Oliveira;2;1161
17;Gruta do Caldeirão;4;283
18;Gruta do Correio-Mor;2;1292
19;Gruta do Escoural;2;3728
20;Gruta do Ourão;3;1478
21;Gruta Nova da Columbeira;2;1992
22;Ibn-Amar;4;897
23;Lagoa do Bando;2;4430
24;Lagoa do Bordoal;2;5025
25;Lagoa Funda 1;2;5292
26;Lagoa Funda 2;2;4927
27;Lapa do Picareiro;2;4154
28;Lapa dos Furos;4;189
29;Mina do Paço;2;4483
30;Mira Nascente;2;7331
31;Moinhos 1;2;852
32;Moinhos 2;2;1572
33;Monte Penedo 1;2;2091
34;Pedrógão;4;3666
35;Pêgo do Diabo;2;348
36;Pegos do Tejo 2;6;870
37;Porto Meirinho;7;314
38;Praia da Galé;2;1020
39;Praia do Rei Cortiço;3;1180
40;Quinta da Rosa;3;411
41;Ribeira da Atalaia;2;187
42;Ribeira de Cacela;2;4729
43;Salemas;2;1260
44;Salto do Boi;5;101
45;Santa Cita;3;259
46;Santo Antão do Tojal;3;1377
47;Sapateiros 2;7;952
48;Tapada do Montinho;6;1287
49;Vale da Porta;2;1295
50;Vale do Forno 8;2;1170
51;Vale do Pardo I;4;8066
52;Vale Santo;2;6592
53;Vilas Ruivas;6;378
54;Vinhas;7;578
