OBJECTID *;SITE;ZONE_CODE;COUNT;AREA;MIN;MAX;RANGE;MEAN;STD;SUM
1;Abrigo 1 de Vale Covões;1;2;1554.589099;19.369001;23.759371;4.390369;21.564186;2.195185;43.128372
2;Arneiro Cortiço;2;2;1554.589099;0.812289;3.856006;3.043717;2.334148;1.521858;4.668295
3;Azinhal;3;2;1554.589099;4.244433;4.929098;0.684665;4.586766;0.342333;9.173531
4;Barrosos;4;2;1554.589099;3.699707;5.274648;1.574941;4.487177;0.78747;8.974355
5;Buraca Escura;5;1;777.294549;52.368309;52.368309;0;52.368309;0;52.368309
6;Buraca Grande;6;1;777.294549;27.857386;27.857386;0;27.857386;0;27.857386
7;Cobrinhos;7;1;777.294549;2.054204;2.054204;0;2.054204;0;2.054204
8;Conceição;8;2;1554.589099;1.624252;2.117369;0.493117;1.870811;0.246558;3.741621
9;Curva do Belixe;9;1;777.294549;1.027432;1.027432;0;1.027432;0;1.027432
10;Estrada do Prado;10;2;1554.589099;16.861668;19.646297;2.78463;18.253983;1.392315;36.507965
11;Foz do Enxarrique;11;1;777.294549;3.122055;3.122055;0;3.122055;0;3.122055
12;Furninha;12;1;777.294549;2.617907;2.617907;0;2.617907;0;2.617907
13;Galerias Pesadas;13;2;1554.589099;23.163158;29.662727;6.499569;26.412943;3.249784;52.825886
14;Gruta da Companheira;14;2;1554.589099;5.804065;13.929151;8.125085;9.866608;4.062543;19.733216
15;Gruta da Figueira Brava;15;2;1554.589099;18.602777;23.053556;4.450779;20.828167;2.225389;41.656334
16;Gruta da Oliveira;16;1;777.294549;30.369667;30.369667;0;30.369667;0;30.369667
17;Gruta do Caldeirão;17;1;777.294549;6.440946;6.440946;0;6.440946;0;6.440946
18;Gruta do Correio-Mor;18;2;1554.589099;9.36137;10.955308;1.593938;10.158339;0.796969;20.316678
19;Gruta do Escoural;19;2;1554.589099;0.363286;1.955623;1.592337;1.159455;0.796168;2.318909
20;Gruta do Ourão;20;1;777.294549;1.955623;1.955623;0;1.955623;0;1.955623
21;Gruta Nova da Columbeira;21;1;777.294549;20.852482;20.852482;0;20.852482;0;20.852482
22;Ibn-Amar;22;1;777.294549;4.134963;4.134963;0;4.134963;0;4.134963
23;Lagoa do Bando;23;2;1554.589099;5.187318;10.79924;5.611922;7.993279;2.805961;15.986558
24;Lagoa do Bordoal;24;2;1554.589099;0.726543;1.089742;0.363199;0.908143;0.181599;1.816285
25;Lagoa Funda 1;25;2;1554.589099;2.764596;2.9264;0.161804;2.845498;0.080902;5.690995
26;Lagoa Funda 2;26;2;1554.589099;0.726543;3.423203;2.69666;2.074873;1.34833;4.149746
27;Lapa do Picareiro;27;1;777.294549;24.59832;24.59832;0;24.59832;0;24.59832
28;Lapa dos Furos;28;2;1554.589099;10.123686;12.517357;2.393671;11.320521;1.196836;22.641043
29;Mina do Paço;29;2;1554.589099;4.72599;6.668484;1.942493;5.697237;0.971247;11.394474
30;Mira Nascente;30;2;1554.589099;3.034259;3.122055;0.087796;3.078157;0.043898;6.156314
31;Moinhos 1;31;2;1554.589099;2.567137;4.244433;1.677296;3.405785;0.838648;6.81157
32;Moinhos 2;32;1;777.294549;3.699707;3.699707;0;3.699707;0;3.699707
33;Monte Penedo 1;33;2;1554.589099;6.649018;6.953701;0.304684;6.80136;0.152342;13.602719
34;Pedrógão;34;1;777.294549;3.735012;3.735012;0;3.735012;0;3.735012
35;Pêgo do Diabo;35;1;777.294549;14.786319;14.786319;0;14.786319;0;14.786319
36;Pegos do Tejo 2;36;2;1554.589099;11.823378;13.609935;1.786557;12.716656;0.893279;25.433312
37;Porto Meirinho;37;2;1554.589099;7.752532;9.42237;1.669838;8.587451;0.834919;17.174902
38;Praia da Galé;38;1;777.294549;4.222941;4.222941;0;4.222941;0;4.222941
39;Praia do Rei Cortiço;39;1;777.294549;8.781854;8.781854;0;8.781854;0;8.781854
40;Quinta da Rosa;40;2;1554.589099;0.812289;1.309637;0.497348;1.060963;0.248674;2.121926
41;Ribeira da Atalaia;41;2;1554.589099;14.094254;15.453687;1.359433;14.77397;0.679717;29.54794
42;Ribeira de Cacela;42;1;777.294549;4.515189;4.515189;0;4.515189;0;4.515189
43;Salemas;43;2;1554.589099;11.55648;16.619379;5.062899;14.08793;2.531449;28.175859
44;Salto do Boi;44;1;777.294549;14.23156;14.23156;0;14.23156;0;14.23156
45;Santa Cita;45;1;777.294549;1.955623;1.955623;0;1.955623;0;1.955623
46;Santo Antão do Tojal;46;2;1554.589099;7.677395;8.18034;0.502945;7.928867;0.251472;15.857735
47;Sapateiros 2;47;2;1554.589099;2.567137;4.484484;1.917346;3.52581;0.958673;7.051621
48;Tapada do Montinho;48;1;777.294549;3.10093;3.10093;0;3.10093;0;3.10093
49;Vale da Porta;49;2;1554.589099;3.442335;3.573363;0.131028;3.507849;0.065514;7.015698
50;Vale do Forno 8;50;2;1554.589099;11.142801;12.487653;1.344851;11.815227;0.672426;23.630454
51;Vale do Pardo I;51;1;777.294549;4.905474;4.905474;0;4.905474;0;4.905474
52;Vale Santo;52;1;777.294549;2.642924;2.642924;0;2.642924;0;2.642924
53;Vilas Ruivas;53;2;1554.589099;5.433025;6.32913;0.896105;5.881078;0.448053;11.762155
54;Vinhas;54;2;1554.589099;4.712132;6.511067;1.798935;5.6116;0.899467;11.2232
